,buyer,seller,state,Z
0,9825,9842,0,1.0
1,15074,9942,1,1.0
2,9920,9937,0,1.0
3,10064,10127,0,1.0
4,10145,14900,2,1.0
5,14925,10008,1,1.0
6,9994,9975,0,1.0
7,14722,9936,1,1.0
8,9968,9790,0,1.0
9,10079,9980,0,1.0
10,10006,9761,0,1.0
11,9892,14850,2,1.0
12,10036,14871,2,1.0
13,9885,10073,0,1.0
14,9995,9927,0,1.0
15,10037,9950,0,1.0
16,9990,9993,0,1.0
17,10105,9659,0,1.0
18,10092,14814,2,1.0
19,9904,15019,2,1.0
20,14820,10093,1,1.0
21,15046,10052,1,1.0
22,9914,15066,2,1.0
23,10061,14865,2,1.0
24,9970,15164,2,1.0
25,10104,15065,2,1.0
26,10001,9862,0,1.0
27,10015,10032,0,1.0
28,14896,9964,1,1.0
29,10107,10053,0,1.0
30,10142,9927,0,1.0
31,9828,9952,0,1.0
32,10016,9966,0,1.0
33,10147,9868,0,1.0
34,10066,10014,0,1.0
35,9926,10095,0,1.0
36,9975,10119,0,1.0
37,10088,9816,0,1.0
38,9989,9904,0,1.0
39,10045,10010,0,1.0
40,9787,10148,0,1.0
41,9993,9937,0,1.0
42,10058,10029,0,1.0
43,15055,10022,1,1.0
44,9964,10121,0,1.0
45,15066,10039,1,1.0
46,9915,9911,0,1.0
47,10190,9888,0,1.0
48,10002,14828,2,1.0
49,9923,10212,0,1.0
50,10032,9960,0,1.0
51,9780,9980,0,1.0
52,10072,10145,0,1.0
53,15114,10124,1,1.0
54,10040,10087,0,1.0
55,10059,9850,0,1.0
56,10047,14953,2,1.0
57,15056,9893,1,1.0
58,15074,10038,1,1.0
59,9930,14760,2,1.0
60,10024,15115,2,1.0
61,10120,15068,2,1.0
62,10040,10039,0,1.0
63,9931,9855,0,1.0
64,10107,9940,0,1.0
65,10085,10078,0,1.0
66,15115,10079,1,1.0
67,15267,10172,1,1.0
68,10017,15065,2,1.0
69,9925,15046,2,1.0
70,15009,10008,1,1.0
71,10002,10121,0,1.0
72,10037,10010,0,1.0
73,10038,15141,2,1.0
74,9978,15073,2,1.0
75,10023,14932,2,1.0
76,9991,14990,2,1.0
77,9877,14974,2,1.0
78,9938,14740,2,1.0
79,9904,14867,2,1.0
80,15061,9967,1,1.0
81,15110,9987,1,1.0
82,15070,9962,1,1.0
83,10031,14915,2,1.0
84,9974,15244,2,1.0
85,9893,14975,2,1.0
86,15140,10065,1,1.0
87,15184,10199,1,1.0
88,15160,9871,1,1.0
89,14971,9858,1,1.0
90,9952,10013,0,1.0
91,10022,14941,2,1.0
92,9948,9990,0,1.0
93,15219,10037,1,1.0
94,10099,9872,0,1.0
95,9907,10093,0,1.0
96,9927,15129,2,1.0
97,10049,14998,2,1.0
98,10032,9846,0,1.0
99,15050,9839,1,1.0
100,14797,10038,1,1.0
101,9781,9901,0,1.0
102,10194,14865,2,1.0
103,9989,15052,2,1.0
104,9966,9811,0,1.0
105,14925,10031,1,1.0
106,10016,9953,0,1.0
107,9908,9881,0,1.0
108,15167,10034,1,1.0
109,9976,15090,2,1.0
110,14879,9980,1,1.0
111,9982,10034,0,1.0
112,10136,10052,0,1.0
113,10070,10023,0,1.0
114,15066,10159,1,1.0
115,10055,14951,2,1.0
116,10011,15013,2,1.0
117,10006,15240,2,1.0
118,10073,14898,2,1.0
119,14982,9934,1,1.0
120,9938,15052,2,1.0
121,9908,15239,2,1.0
122,14895,9954,1,1.0
123,14764,10025,1,1.0
124,15067,9978,1,1.0
125,14884,9879,1,1.0
126,15093,10029,1,1.0
127,10236,15278,2,1.0
128,15108,9845,1,1.0
129,15028,10052,1,1.0
130,10019,14823,2,1.0
131,10029,14991,2,1.0
132,10037,14884,2,1.0
133,15100,10047,1,1.0
134,10120,9921,0,1.0
135,10093,9929,0,1.0
136,10114,9966,0,1.0
137,9980,10035,0,1.0
138,10108,14756,2,1.0
139,9922,10053,0,1.0
140,9920,10057,0,1.0
141,10268,9999,0,1.0
142,15151,9964,1,1.0
143,10125,10094,0,1.0
144,10046,9921,0,1.0
145,10055,15056,2,1.0
146,9968,15165,2,1.0
147,10080,14956,2,1.0
148,10012,10043,0,1.0
149,9921,14863,2,1.0
150,9917,10088,0,1.0
151,14783,10023,1,1.0
152,9998,14921,2,1.0
153,10175,9992,0,1.0
154,9966,10041,0,1.0
155,14786,9986,1,1.0
156,14961,10075,1,1.0
157,14997,9803,1,1.0
158,15106,9926,1,1.0
159,9771,14892,2,1.0
160,10118,15113,2,1.0
161,10075,15059,2,1.0
162,10140,14998,2,1.0
163,9954,14908,2,1.0
164,15136,9988,1,1.0
165,10053,9867,0,1.0
166,10001,15169,2,1.0
167,9964,9899,0,1.0
168,9925,14862,2,1.0
169,10013,10177,0,1.0
170,10071,10118,0,1.0
171,9993,10064,0,1.0
172,10027,10024,0,1.0
173,10180,10065,0,1.0
174,9900,14866,2,1.0
175,9986,9846,0,1.0
176,10114,9898,0,1.0
177,9923,10041,0,1.0
178,9939,10134,0,1.0
179,10092,9948,0,1.0
180,10035,14917,2,1.0
181,10018,14844,2,1.0
182,14932,10005,1,1.0
183,14674,9839,1,1.0
184,14770,10067,1,1.0
185,9880,10021,0,1.0
186,9972,10016,0,1.0
187,10033,9957,0,1.0
188,9949,10091,0,1.0
189,9990,10173,0,1.0
190,10052,9908,0,1.0
191,9985,10171,0,1.0
192,15116,9992,1,1.0
193,9802,14960,2,1.0
194,14841,9933,1,1.0
195,9954,15075,2,1.0
196,10099,14858,2,1.0
197,14869,9978,1,1.0
198,9902,10116,0,1.0
199,10041,9924,0,1.0
200,10022,15199,2,1.0
201,9868,15022,2,1.0
202,15022,10072,1,1.0
203,15023,9953,1,1.0
204,10072,9907,0,1.0
205,9922,14973,2,1.0
206,9857,14899,2,1.0
207,14925,10037,1,1.0
208,15081,9947,1,1.0
209,15194,9853,1,1.0
210,14901,10046,1,1.0
211,14926,10112,1,1.0
212,9932,9991,0,1.0
213,14816,10069,1,1.0
214,9931,15062,2,1.0
215,14955,10081,1,1.0
216,9987,10043,0,1.0
217,14878,9946,1,1.0
218,14907,9997,1,1.0
219,9885,9970,0,1.0
220,10121,9985,0,1.0
221,9847,10040,0,1.0
222,10004,14921,2,1.0
223,14763,10038,1,1.0
224,15035,10159,1,1.0
225,10095,9860,0,1.0
226,9976,9961,0,1.0
