,buyer,seller,state,Z
0,18439,18137,0,1.8306740291041974
1,15261,15265,0,1.5317108325558475
2,12763,12883,0,1.279697434318931
3,5966,5840,0,0.5982777864962676
4,7701,5042,1,0.5085547374388082
5,11965,8031,1,0.8038172395351445
6,27697,18199,1,1.8380354731174182
7,21736,14606,1,1.452140118161072
8,9919,6476,1,0.6546481933579034
9,18125,12325,1,1.2131190575555153
10,18021,12027,1,1.1835457439033912
11,11872,7779,1,0.7894867532346561
12,16932,11122,1,1.1213398858327308
13,7101,4822,1,0.4799299914406161
14,15421,10210,1,1.023420074921698
15,9902,14737,2,0.9857271475420295
16,10400,15762,2,1.0486482762463751
17,6068,9116,2,0.6177638649219612
18,8220,12311,2,0.8125344214137133
19,7244,10786,2,0.7222997581329813
20,8136,8146,0,0.8218111673916618
21,7603,7733,0,0.7719246155174584
22,9452,9516,0,0.9492446294515463
23,6688,6425,0,0.6449080343156872
24,8440,8484,0,0.8332693949393079
25,9013,9025,0,0.8993029484285591
26,11562,11548,0,1.1661170803793628
27,6047,5911,0,0.5950759476067431
28,10816,10800,0,1.062600994433441
29,7819,7770,0,0.7815055886057207
30,13513,13523,0,1.3536872779969062
31,12657,12339,0,1.250221275399623
32,14831,14989,0,1.500442490095761
33,7673,7550,0,0.7549305446145539
34,10722,10663,0,1.0732338443704095
35,15295,15448,0,1.5594365685535903
36,9763,14989,2,0.9927668649407526
37,14409,21783,2,1.4514901054280365
38,11994,11816,0,1.1885559672286035
39,5440,5540,0,0.5547506531095192
40,6208,6118,0,0.6198687489495883
41,9016,8994,0,0.8969846549803326
42,9258,13841,2,0.9238263308585423
43,8748,12970,2,0.8799344805616245
44,8417,12654,2,0.8506907524295584
45,17095,11454,1,1.1388098600080734
46,10757,10751,0,1.0873758085047645
47,7990,11802,2,0.7852257719471146
48,9536,14515,2,0.9687768292277721
49,10438,15751,2,1.0476657525042037
50,9650,14614,2,0.9709949984136431
51,9026,13311,2,0.8730493451670119
52,14979,22954,2,1.5134877768386845
53,8479,12559,2,0.8370972270570962
54,6830,10153,2,0.6809241289421124
55,16684,25033,2,1.6539112777262073
56,7900,11980,2,0.7917726408124087
57,11140,16348,2,1.105515639789546
58,6721,10030,2,0.6743496264409822
59,12199,18480,2,1.220403067024933
60,15112,15086,0,1.5283753663721784
61,6120,6260,0,0.6199595182071993
62,11413,16728,2,1.1226724349607433
63,10697,10599,0,1.0695901802719692
64,7246,4729,1,0.4793963752033984
65,18674,12644,1,1.259793486894655
66,5632,5766,0,0.5792804816121481
67,13765,9148,1,0.9117001988136404
68,9266,6195,1,0.6164489098534902
69,9117,6070,1,0.6135565137705119
70,9219,6176,1,0.6273967642250886
71,18128,12096,1,1.2068749339006788
72,9293,9433,0,0.9474402988680088
73,8730,8624,0,0.8722244132546964
74,8351,8309,0,0.854557483821072
75,12372,12366,0,1.2403656760508248
76,14695,14824,0,1.4729092583389745
77,9024,8923,0,0.902591864032364
78,8644,8470,0,0.8606096970147384
79,13040,13193,0,1.2893828363754583
80,6650,6512,0,0.6550846134038013
81,13148,13094,0,1.3094018602092463
82,10458,10398,0,1.0275894341972285
83,5272,5413,0,0.5255219827289467
84,13653,13837,0,1.3686044762931577
85,18014,11998,1,1.1893676909173718
86,16947,11395,1,1.1290884739209999
87,20957,13988,1,1.3923255116919033
88,7950,11827,2,0.7885238382467565
89,17552,11734,1,1.1769037107036366
90,13384,9083,1,0.9128403007768316
91,19891,13337,1,1.3285422488270986
92,7794,7709,0,0.7708607430893176
93,9062,9341,0,0.9047609400504663
94,6902,6763,0,0.6768937759666606
95,7538,7387,0,0.7393172452869947
96,8088,8153,0,0.814652072633964
97,10020,9922,0,0.9926399945121173
98,8823,8876,0,0.8805430664296429
99,11478,11538,0,1.1456805018200862
100,10757,16283,2,1.0822931768705382
101,13385,20161,2,1.3314722381871404
102,19442,12936,1,1.300819805732507
103,8871,13297,2,0.8798891447349596
104,8704,12969,2,0.8733498724645385
105,15740,15750,0,1.5834439349022404
106,6817,6650,0,0.6720173863369889
107,5486,5406,0,0.5442904337886616
108,5904,5614,0,0.5783007866907175
109,13667,20520,2,1.3632005376061318
110,10536,10468,0,1.0679703465324755
111,6729,6749,0,0.6779186209782355
112,4866,5029,0,0.49103135203083925
113,8775,8629,0,0.8683042115745636
114,13607,13637,0,1.3570633950290467
115,5018,4987,0,0.496454291829336
116,8790,8586,0,0.8630371234481162
117,8143,8100,0,0.8266173416634882
118,9523,9482,0,0.93829285303315
119,13266,13200,0,1.32208334435085
120,5330,5344,0,0.5376361918010955
121,9901,9624,0,0.9814824222755438
122,11525,11380,0,1.1489339163336603
123,8222,8321,0,0.8255991694810041
124,8660,8647,0,0.8731583601394234
125,11016,10891,0,1.0934239646346287
126,9935,14661,2,0.9837282526985437
127,16745,11449,1,1.121834351389969
128,25218,17039,1,1.6989735536792074
129,10344,6806,1,0.6878140001115256
130,9249,6149,1,0.6104359208206572
131,20666,13809,1,1.3797585045262002
132,9576,9557,0,0.9605266465811247
133,17659,11737,1,1.1762307371750518
134,10023,6715,1,0.6708751129587589
135,16801,11506,1,1.1321416824539685
136,10525,10256,0,1.0380551393152515
137,7812,7700,0,0.7782984243454678
138,7688,11299,2,0.7669359939646362
139,8789,12867,2,0.8649993824971971
140,14354,21168,2,1.4216391339335182
141,5776,8855,2,0.5863961504598653
142,13763,20284,2,1.3541574332444895
143,8703,12948,2,0.870586940450351
144,16823,25648,2,1.7022480888262352
145,7736,11573,2,0.7731475230373929
146,13540,20216,2,1.3453396948706173
147,11903,17859,2,1.1964438236905444
148,12288,18788,2,1.247592246755431
149,7888,11697,2,0.7867006853807398
150,20799,14006,1,1.3809377532854032
151,16976,11398,1,1.1452307134009851
152,7146,10479,2,0.7187275994486169
153,12735,19320,2,1.282424554875849
154,11542,17099,2,1.148304005059083
155,13513,20144,2,1.3496860010830682
156,16901,25201,2,1.6710585545695738
157,5708,5799,0,0.5807087830546946
158,10991,10653,0,1.0900725261664266
159,10997,7503,1,0.7459065595545205
160,15467,10218,1,1.0283680643261675
161,10339,6904,1,0.6936192865825175
162,9313,6097,1,0.6100185504254831
163,12817,8594,1,0.8651154145803278
164,13040,19858,2,1.3211311162061625
165,10630,15874,2,1.0692157049188078
166,11313,16921,2,1.1236162022000982
167,13765,9197,1,0.9389070588800116
168,9908,6583,1,0.6620687386178246
169,12091,8208,1,0.8158682509910236
170,17010,11440,1,1.1490318934387618
171,23095,15450,1,1.5496813247504024
172,7788,11702,2,0.7847191546148253
173,7062,7087,0,0.7041856297277579
174,10299,10421,0,1.025888604230881
175,10800,10737,0,1.084661210947294
176,14886,14735,0,1.4913558069961848
177,5039,4974,0,0.5028733657803018
178,7091,6844,0,0.691652708056953
179,6908,10191,2,0.6915388263178628
180,12037,17941,2,1.1962565778616783
181,14729,14569,0,1.4631949880367603
182,13204,8877,1,0.8764150680102757
183,14870,10079,1,1.0084618370005485
184,6455,9810,2,0.6542932597140769
185,7585,11586,2,0.778262414170766
186,14018,9284,1,0.9236498527982411
187,30718,20564,1,2.0507032705409585
188,14097,21149,2,1.412730555576879
189,12178,11978,0,1.2026407403555455
190,14176,14116,0,1.4099813094571287
191,25957,17346,1,1.741785535448621
192,7349,7290,0,0.719259347157139
193,12906,12689,0,1.2789588341569031
194,7624,7815,0,0.7781362574633977
195,8604,12770,2,0.8507311840901679
196,7182,10728,2,0.7245549050879891
197,13262,13144,0,1.3227243042055945
198,8613,8617,0,0.8686026101447949
199,17485,17317,0,1.735391310737651
200,10842,10789,0,1.087721543329292
201,9726,9872,0,0.9827933726162232
202,10248,10149,0,1.0147018556396024
203,10167,10394,0,1.0209361909127013
204,8307,8149,0,0.8189381921680201
