"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
120,0.358325830865933,0.744197964027915,7493.59843429788,10105.7715960674,9237.02493109293,0.1218974222511,-92995.5633582715
121,0.358314330648262,0.74420049281286,7491.05038718206,10135.5743545816,9230.74041941121,0.121727621026951,-93010.0869452655
122,0.358323659853277,0.74420265207775,7408.25644181971,10137.843999005,9172.40770743399,0.120854864361378,-93019.0223774165
123,0.374993832678476,0.73333913915478,7249.34949040477,10147.9859995057,9158.54968987417,0.123426184575316,-93085.5729744807
124,0.366662620183477,0.727276867096497,7236.67123144859,10127.4008999635,9154.01727812168,0.120968169285559,-93045.0529280584
125,0.358341248403723,0.720939594519459,7248.93719784174,10106.2177475815,9145.61573012068,0.118886103639615,-93198.2137867175
126,0.358333692763778,0.720976769598399,7257.25356310087,10097.728247415,9137.35747781826,0.119095329147098,-93308.1476941481
127,0.341675400434341,0.707283350013205,7413.76141334215,10097.5466696518,9186.58424103193,0.116105472855476,-92645.2790727597
128,0.358337036056357,0.720942722264899,7277.8148871412,10166.0188270258,9131.51724864477,0.119053067137923,-92872.8244922999
129,0.358346587441806,0.720942267620645,7281.6282952752,10186.4183252219,9119.04913247912,0.119067706334749,-92325.1246789601
130,0.358320113179929,0.720927808503803,7324.09526630659,10148.8152241436,9074.83399942083,0.12011938201173,-91841.9926132932
131,0.36666366252082,0.704529751998938,7316.54480311543,10141.9136941088,9080.85977742309,0.122467553911938,-91930.2642687317
132,0.358350480665406,0.697695686086413,7278.26222301851,10042.3383726501,9064.10981949682,0.120111203022889,-88140.2616464943
133,0.358338716424174,0.697671090406805,7253.37671465701,10037.58730757,9061.87144586364,0.119784814334611,-88288.5179627556
134,0.366689562456809,0.704553431500046,7148.84996854088,10078.1298309151,9074.73656286649,0.120390169579105,-86996.701408945
135,0.366659706138416,0.704520866670082,7090.76304566461,10121.9628464674,9073.63674330947,0.119285976009975,-88595.2878284901
136,0.375008022412703,0.688884536070141,7202.87337236294,10169.9510402054,9134.89002059919,0.122745533071894,-92657.0525548682
137,0.37500188401381,0.688887288908934,7179.55365955725,10190.6256067992,9159.37679067083,0.122144250784862,-92297.1818322949
138,0.366653910053131,0.704545983941027,7220.22835218842,10151.8468110859,9131.40903338749,0.120713855268798,-93205.2844357193
139,0.366659340815512,0.681821603685281,7214.70034689523,10100.8433873203,9149.84054075382,0.12081360577049,-92361.9109939225
140,0.35832947565556,0.674405049390938,7008.58750738422,10066.4994429553,9115.53335869709,0.115767081276463,-87568.6532207523
141,0.358330802501909,0.674452675792136,6969.89855537973,10099.4948323251,9115.05150945482,0.115029506114456,-88000.2299710512
142,0.358333805420485,0.674436893213736,6931.92739389688,10132.6336835095,9114.635318962,0.114303050206724,-88443.0030631348
143,0.35832529247042,0.674407183122825,6928.13561418662,10137.4573851785,9117.91596594059,0.114202672253596,-88430.9420166872
144,0.358325323250356,0.67440868452884,7174.02672705956,10216.2769939602,9175.78266971216,0.117045537132212,-91787.9453203976
145,0.341655970804722,0.658531331936504,7303.99464410182,10213.1020842723,9269.9251324872,0.113540759553268,-91679.5106462836
146,0.358311791788534,0.674415733960966,7184.76185020151,10238.8536619228,9149.59817324063,0.117215500169047,-91857.4633786157
147,0.358329894221957,0.674441534533783,7218.20072682611,10251.9676508847,9153.40392724352,0.117611519986286,-91985.6801265888
148,0.366654198988629,0.681824464174603,7059.7451677561,10220.6134455,9102.38907292678,0.11813370418672,-90513.0845998339
149,0.36667299199537,0.659081491276495,7127.58624096413,10205.553259328,9145.42227016258,0.118987323769124,-90525.8395227976
150,0.374990208223481,0.666675944506515,7125.50211873529,10155.8353847813,9039.90870018807,0.122188841437489,-92863.3854543772
151,0.374999371554296,0.666678227002337,7170.27434130493,10090.9319130319,9004.88562397916,0.123428487868898,-95295.7867365293
152,0.374992650339455,0.666666710762656,7440.46569830476,10112.1927174625,9069.37862201337,0.126987035952655,-99988.5130952485
153,0.366690302530808,0.659101712833603,7430.43927686866,10088.6025332416,9098.59858759929,0.124346752865894,-100635.825806547
154,0.366673583080315,0.659117101679778,7433.83210090305,10086.9817579476,9094.33774142804,0.124424898268367,-100576.582830049
