"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
180,0.400023649947776,0.416670603383772,8062.44699873857,9360.39502750112,10063.9690119122,0.142394521006749,-139604.165297043
181,0.400008503289897,0.430537694438425,8058.86134304841,9374.0854816518,10015.0564337295,0.14255728976789,-137295.705370821
182,0.400000321697803,0.430565325132974,8053.51329690057,9373.02195293408,10011.4367917359,0.142503181091502,-137098.380434547
183,0.405565287106705,0.424657197760497,8021.2297119524,9342.29603851196,9990.71084499179,0.144032244739585,-136779.997082181
184,0.411105547832392,0.418932947562294,7961.30450620142,9363.43300180909,10022.6713636239,0.144442850739893,-135241.185632993
185,0.411125954365921,0.418918056167763,7952.57153915573,9356.9128930294,10052.3473213244,0.14416605220927,-134069.905488782
186,0.411098259469753,0.418891233066067,7960.37696165066,9328.52749342736,10072.932062363,0.144328454065859,-133798.368553627
187,0.416664121159002,0.413329695360808,7758.60089006213,9274.73273715386,10041.0602198425,0.143367729157908,-128771.507991783
188,0.411117002748449,0.418930833015588,7905.40733238774,9320.52299827178,10061.010178306,0.143606734032369,-135856.938921295
189,0.41666341249781,0.426667897625968,7919.95040537601,9344.46125487457,10091.8291428478,0.145140664766756,-136415.95841974
190,0.411120121001414,0.432450599321559,7897.95733110284,9362.17078754711,10092.1898397985,0.143031420662901,-136718.285951894
191,0.411089301981932,0.43247675650013,7839.37977335317,9357.29331163827,10111.3936489192,0.142022489518012,-137524.396742944
192,0.416678073817229,0.426653447682568,7938.4865490648,9357.16774292456,10158.0703045958,0.14493225006786,-140929.114745405
193,0.41111205146614,0.432447196986842,7962.99603856842,9342.53973595726,10132.2058813276,0.143908117813563,-141555.127911393
194,0.411105643419488,0.432412673527341,7916.05264508958,9385.05108195451,10184.9415887083,0.142581815224439,-140404.220002014
195,0.405536413289396,0.438373253265311,7956.26115152661,9375.04408821618,10165.9977072808,0.141716924999559,-140768.555740621
196,0.400006665830917,0.430581604987315,8000.36692758419,9361.08940580969,10188.3733889545,0.140670220693493,-140745.474294543
197,0.388888103545351,0.41428519479482,8097.87279962184,9328.1644506149,10226.4223061059,0.138706863778919,-140789.871422585
198,0.394435073838558,0.408438421731127,8014.08634599711,9345.9566199366,10259.0359857238,0.138848838841789,-140984.654847439
199,0.400011824289092,0.41669230742698,7972.30463988927,9354.12287341444,10204.7293494126,0.140189668514803,-140883.814406674
200,0.399992480826216,0.402780258153171,7997.39829585224,9364.25115586369,10277.7439768609,0.140051398166975,-142624.910406008
201,0.399991497306436,0.40278923276332,7978.61326595593,9383.73080741838,10295.4926256985,0.139540604143341,-142421.021846134
202,0.400002752931544,0.402785126942109,7963.71250247518,9399.03624788454,10309.8225051691,0.139139339757392,-141903.015025619
203,0.400005661570066,0.402805080217155,7958.58249120086,9404.70657920324,10314.1388603448,0.139002405383574,-141909.68612257
204,0.399984596307043,0.402784774670423,7932.86308642632,9429.9729355757,10340.5456816138,0.138297002559844,-140645.927022085
205,0.400003084220345,0.40279535619954,7934.34832407671,9428.93893695222,10338.3835652988,0.13834409404022,-140734.657308418
206,0.400013660434471,0.402758535919598,7932.69573384829,9430.02436163487,10340.8662100992,0.138300905540508,-140685.15220635
207,0.405552817772237,0.397270248327363,7921.22355304821,9412.52251484707,10335.0494323351,0.139915854919341,-140479.86745318
208,0.40554662532567,0.397255769259858,7872.63065436851,9462.26482555544,10381.9465304882,0.138591330245663,-139509.631272476
209,0.405572209015211,0.397234281709456,7883.18173473622,9451.62953488778,10371.4932090253,0.138885955028776,-139473.360977493
210,0.405556916942514,0.397249634571024,7898.16213641895,9435.70677178266,10357.9506252422,0.139286885928806,-141097.028650969
211,0.394440486524299,0.408429051332318,8011.1944483855,9468.18835939198,10320.3706998203,0.137697001681405,-140256.99080465
212,0.400003003102245,0.402774792580847,7977.18555029264,9423.81454273785,10314.1691209509,0.139165014616588,-139668.245241433
