"i","alpha","delta","mu","epsilon_b","epsilon_s","pin","log_likelihood"
60,0.266666594292693,0.374995329932609,9606.15095170344,10020.3396749177,10510.0353793286,0.110931835160563,-55186.0057626199
61,0.283342717963461,0.411741457563883,9492.56215084457,10153.3521552948,10581.8536144666,0.114820282138304,-54417.3515628101
62,0.28335222351576,0.529428828152212,9291.79352517641,10310.154526632,10384.1379806102,0.112866387935509,-54784.1579307588
63,0.283343119713651,0.529396710017684,9210.44206541121,10388.7878090086,10467.9230314918,0.111210602043097,-51276.6661821576
64,0.28331360984799,0.529428297988717,9320.62460868492,10279.5941959675,10356.8611712865,0.113444461846122,-52632.7333086869
65,0.266662801038818,0.499958971432061,9534.71251037091,10285.6448506596,10398.9790864394,0.109464578330626,-52373.9945168896
66,0.216679811973334,0.384607144288942,10503.3738252651,10163.9351972515,10774.1711796701,0.098038747011888,-52169.7341536097
67,0.249990666667871,0.533353435476142,9769.24674505137,10382.4151786122,10412.1417955161,0.105101514556387,-51853.409881223
68,0.26668273713452,0.499992099063468,9554.77474211088,10453.830360853,10480.1296307296,0.108512378779506,-50937.9277796494
69,0.28333501675017,0.588222266569822,9304.15578971741,10626.6315151704,10338.9770233767,0.111694571999984,-51326.515244443
70,0.283336902125953,0.529432546382838,9327.73957720463,10411.8479927216,10476.6125333954,0.112313677628831,-51367.2813189151
71,0.249995201565711,0.333349834558359,10844.6766857784,10336.9756060768,11175.4399802019,0.111920798889471,-56056.3540833006
72,0.250005810435662,0.333339984698747,10823.8466494647,10383.0211599608,11147.4212790689,0.111650949556724,-55753.8908864334
73,0.249992021289295,0.333330668204218,10334.3435717373,10336.2408605322,10951.3078264866,0.108227464153859,-54539.4098772323
74,0.249989945366396,0.333361600437881,10301.2120621909,10348.6671474594,11027.4333008104,0.107518149435711,-53892.5093615474
75,0.26665681239162,0.37501037456678,9938.39416188203,10495.4856554031,11112.2553896027,0.109248637469141,-50979.9202778004
76,0.266672599525754,0.374986787444488,10030.6899031835,10419.9940242279,10990.1176902606,0.111061146898686,-52169.3103921851
77,0.316656975117716,0.473661038257949,9164.06310253179,10603.4404857042,10673.0625732786,0.120019041588983,-52828.0791129749
78,0.333322672365679,0.500004475071743,8982.56392792555,10627.1839131426,10657.346393769,0.123322161736213,-53150.0050952807
79,0.333349270878864,0.449974060113843,8975.76244672899,10594.2896899621,10686.6549965803,0.123267120372592,-53222.3288085498
80,0.349995741343072,0.428594889409978,8773.14679131795,10605.7010619175,10642.9089568449,0.126261032173975,-53291.8873991659
81,0.349967505182389,0.428591464674342,8705.72073166004,10655.8945562524,10734.3655724683,0.124676593767345,-51268.4606516128
82,0.283339818382616,0.588233693586625,9407.56914852741,11085.1444511359,10496.1712600708,0.10993339024682,-51060.8067838354
83,0.299999996428537,0.555548848900108,9520.50697871172,11135.2380638577,10521.4717838545,0.116516466759765,-51729.4668320529
84,0.283338955865849,0.588246265957835,9820.2790800214,11113.8548290106,10532.6057918877,0.11390051963434,-51531.7547745639
85,0.283320549743285,0.58822174362507,9772.23210185667,11242.8921597164,10514.1539723259,0.11288859764652,-51199.694680362
86,0.266664542031869,0.562487589129602,9943.40282343084,11161.7448236071,10548.0281762388,0.108842719173122,-51612.63518559
87,0.283323495854552,0.529441765261501,9870.38837743077,11231.6226330021,10670.1692783014,0.113226918094647,-51214.8095858861
88,0.283317495266136,0.529440487084727,9896.85376618712,11237.7546906724,10610.0042994996,0.113742686730226,-51597.649713981
89,0.283332443659745,0.529376569551104,9908.42952842096,11302.8045289623,10520.0911460392,0.113980843711432,-51260.4691659762
90,0.299984207352009,0.499989530022118,10090.021644562,11281.1683182962,10560.0092033923,0.121716428455924,-52360.9182356196
91,0.299999893312246,0.499963460481707,10162.281315359,11207.9268814869,10488.8935053275,0.123201505522712,-51493.2346291877
92,0.299991520726142,0.499978661114586,10085.0374875816,11244.7302438542,10613.1387488359,0.121584611921165,-51267.6586225573
93,0.283302395427786,0.470615848678696,10418.2487216702,11145.1528679472,10728.7694534317,0.11889074912641,-51152.0816951292
94,0.300011102443112,0.500017832262819,10219.7516334463,11091.9951791068,10499.5479590817,0.12434467186407,-54329.0214674007
95,0.300003487137082,0.499997816743389,10276.5640240264,11033.5121251844,10444.6884768095,0.125523359380543,-54661.1014963249
96,0.26665642618228,0.500017997441594,10819.9071356445,11077.2426657946,10580.1609867467,0.117558759111473,-54710.4454432884
97,0.233347426488333,0.357152698864385,11621.7976072675,10860.8560239522,11019.5757675092,0.11027481083772,-53769.6260044184
98,0.266676407046826,0.49998327313136,10768.378635065,11142.6508241873,10615.0858141419,0.11659526646288,-54275.1997852651
99,0.233351117858914,0.285690575147983,12030.2785263453,10859.1255052975,11379.8764235809,0.112083664505647,-58500.5068869665
100,0.249989756932395,0.266646151847686,11600.1669121864,10852.3586982059,11403.4676769038,0.115278733074493,-59388.3414315023
101,0.250007182750734,0.266706629191943,11640.230368148,10796.811390926,11408.5461651459,0.115870332859752,-60220.8893426489
102,0.249991406839901,0.266681690222673,11572.7857940224,10865.2943129453,11472.9567152842,0.114662799556812,-61543.6148257032
103,0.349984252708502,0.571469179055276,9715.66967280225,11504.9200543148,10623.9834444402,0.133193627024692,-60050.4414758794
104,0.366659793816072,0.59094103465762,9558.27555720323,11512.6629874814,10659.1683138228,0.136492119157685,-59941.5044865059
105,0.349989854980812,0.571435578381422,9862.71201705467,11322.5250662183,10609.0179456354,0.135988489117262,-59744.2349923803
106,0.333341428960199,0.600023113804597,9757.53102891147,11308.4651656847,10458.8813051726,0.12999990732871,-58012.9507632656
107,0.333348335592004,0.600020980569785,9735.38130559961,11327.053309644,10483.6693487142,0.12952082123593,-57606.799645802
108,0.316668193895836,0.631598189070689,9816.36818092942,11318.038693281,10424.9590726159,0.125084116107951,-57176.486103897
109,0.316655620209635,0.63157845374282,9860.33643583432,11283.9866701389,10374.4418023436,0.125998194663351,-58281.4273252403
110,0.316665273812226,0.631591480214389,9972.20315290741,11158.5116645589,10271.5787166138,0.128430862293271,-62955.7365542743
111,0.33333715335094,0.60001559127385,9684.2181463734,11188.9492783361,10354.1774699175,0.13031685821851,-62893.9544002842
112,0.333343004279236,0.599996023476375,9571.07691259293,11299.9098891508,10468.9133021019,0.127826291732327,-62947.4274220802
113,0.333322802859699,0.599995705903329,9472.12957887139,11400.3997458485,10566.7560400721,0.125665595509892,-60539.6626690589
114,0.333322862611729,0.600001231325953,9463.80244177257,11363.028278335,10608.6258848872,0.125546531495248,-60266.1544013079
115,0.333331907164449,0.550028801339195,9683.7530317062,11268.6482146115,10686.0608440421,0.128179862675617,-59465.3554358641
116,0.300002520452501,0.444426565686163,10249.1157313326,10941.9547442582,11097.3065256619,0.122432025170449,-60119.1153850891
117,0.333343205948786,0.550010868957665,9477.00280693399,11154.7823237682,10652.4144914218,0.126534392263668,-58026.8300264264
118,0.350006271827079,0.571403322322127,9519.51423734236,11161.2339998212,10608.5152211008,0.132735942060621,-57894.131933677
119,0.399995710880367,0.500012005758963,8524.46839083048,10614.3436516261,10718.8568314513,0.137806955835726,-54434.241702931
120,0.433343860032259,0.384617254294685,7958.64613077706,10117.2757498337,10842.1775129713,0.141297539706166,-51366.7046676651
121,0.433321720339003,0.346162451631803,7867.37931402373,9917.96806875371,10867.7668446385,0.140902199082936,-51011.9358605444
122,0.433318200573065,0.307713995098856,8052.28609027566,9889.56245478537,10927.0447741409,0.143554245372853,-50866.7480699141
123,0.416664205619978,0.319978226054791,8066.39301600123,10087.3513827376,11002.3497995059,0.137459467603824,-51386.4403673466
124,0.433327556755534,0.307700415970891,8080.5100181639,10186.953951028,11132.2885399571,0.141071790405799,-50137.1547899209
125,0.433343304784712,0.307711027677776,8094.87132130394,10147.3084575428,11184.6867329268,0.141218960607532,-50522.1787462467
126,0.43332714561567,0.3076781452421,8102.67790354657,10160.622334807,11121.0592624919,0.141618189030946,-50928.4573507402
127,0.433341086668332,0.30768610943614,8057.62631058316,10212.9198582698,11147.0837307381,0.140501453062276,-50098.8145577936
128,0.399996080564752,0.375009366982453,8261.33482454969,10462.4089347012,11108.6264933448,0.132841415763701,-50313.5404670537
129,0.433328166845494,0.307681921465174,8041.07578080671,10217.161309585,11135.8880430524,0.140289009677087,-50479.361854665
130,0.450035852084926,0.333330014307299,7946.5455086838,10222.9456240337,10902.6272888364,0.144776085245972,-52525.4568889895
131,0.499990198224292,0.333322355096628,7171.65620728486,9837.59538949689,10683.3724522984,0.148745120372936,-44031.3499428956
132,0.499999151835599,0.333357016247487,7185.08801307773,9798.1690134612,10726.557380237,0.148961253100923,-44320.439874134
133,0.516652630351563,0.322565136659484,7184.51812042924,9761.8328630406,10791.0306192265,0.152974916041615,-43754.5824077623
134,0.533339234027715,0.312520145456617,7054.89412373314,9793.13837403263,10839.4721337471,0.154236989801283,-44227.0215352504
135,0.516689621650018,0.290330812318214,7088.10225202126,9765.66136218138,10842.9901557127,0.150894022172957,-44091.239232488
136,0.516675235078061,0.258068655947784,7281.12167794773,9799.72657158874,11223.344389908,0.15178407261329,-48437.4652472604
137,0.499993012258761,0.266679209058342,7426.90705579138,9721.60606724599,11146.9282276521,0.151062212587599,-50020.4990589926
138,0.483369074807444,0.24133930389074,7559.2646926146,9652.60354535476,11124.6383466772,0.149559631156262,-50028.5606501941
139,0.449982663710608,0.222235403429005,7860.67471586321,9544.8649848943,11205.0624681727,0.145639788385348,-50466.1386713078
140,0.433329476719614,0.230794918568833,8065.63922390155,9429.56012423045,11097.2607937985,0.145495535473624,-54273.9181399597
141,0.433350102564075,0.230779735968768,8115.73706749245,9375.79114943724,11061.0560795023,0.14682242864574,-54717.1133455615
142,0.450009369502069,0.259226796547769,7964.47505699599,9416.50831047046,10906.2954471569,0.149918624945488,-55473.942276001
143,0.466659621422327,0.285717593444014,7544.66596563361,9348.86291297156,10676.1757112848,0.149529280766735,-54326.0311568854
144,0.466655227764245,0.285721633926921,7534.73215646532,9378.2683956172,10631.3780421584,0.149458332781212,-54160.0522912946
145,0.450022871052095,0.296298563572216,7667.63130726358,9346.8452500929,10590.6562388735,0.147536902972682,-54477.3057962442
146,0.449989045208951,0.333332935465684,7690.42666149933,9521.68125609814,10558.545054417,0.147004466437548,-54496.6455090689
147,0.449992494436476,0.333339625183094,7724.72814681023,9526.80023261625,10571.3549674423,0.147452130629441,-55069.0102168126
148,0.466656690448647,0.321432556940652,7715.21888925645,9303.63911108874,10596.7220067754,0.153202053788469,-55127.7107651103
149,0.449996972730873,0.333305058290187,7913.56991807782,9265.44927801226,10547.2276945188,0.152353861166585,-55402.2908312157
150,0.449998718207133,0.370413718678549,7542.96915438285,9267.9987589295,10444.9291498231,0.146894408055158,-52796.4128243886
151,0.449994408366876,0.370381546015678,7530.19548624914,9282.17556688983,10454.9902904525,0.146527203302534,-52899.3726658514
152,0.433332509941704,0.346155428235488,7775.14467717228,9165.94231785265,10353.2304531004,0.147202232869449,-55951.9715858791
153,0.450004124832605,0.370385074696468,7667.48766704007,9209.06917209216,10361.9037534624,0.149878155702072,-56139.4712785333
154,0.449991075693147,0.370388845298529,7677.26995144002,9185.61228556289,10378.1465820635,0.15008400600918,-55894.1293327576
155,0.449986314785672,0.370390232479029,7673.36577712804,9187.6418964565,10385.6049342019,0.149955968563062,-55832.2882306464
156,0.433341856913826,0.384634945403886,7853.25104480975,9190.77201321293,10236.4367523158,0.149062200896523,-56097.4320566971
157,0.450001279285333,0.370354257305485,8125.24315508173,9307.52723084452,10371.7509433534,0.156686020293705,-60662.809251748
158,0.433341318918757,0.384602117950633,8270.38171958695,9322.91767026241,10308.3321948185,0.154377569519318,-61075.4728036271
159,0.416667425815059,0.640012764053304,8131.41281282449,10109.1735723466,9271.37618316674,0.148805293613694,-54832.4597345321
160,0.399990156593014,0.666651127401085,8306.26271684806,10009.6623710113,9164.81707593994,0.147683588204171,-56985.9197346456
161,0.416670091057636,0.640013937245861,8147.5301410284,10057.0998454109,9194.64719701931,0.149904853202995,-56561.6974403765
162,0.383331347759377,0.608692740864442,9080.76327503796,10083.7686346771,9464.79818538428,0.151151349742581,-64654.5785226431
163,0.400006736050516,0.625040260189733,8748.1501713964,10052.548098711,9341.4598893542,0.152853230939005,-64881.104021851
164,0.383334725844464,0.608677721687679,9100.12548471535,10085.5636402054,9466.85649498908,0.151400643702908,-66370.1703298539
165,0.366693542405918,0.590912018745333,9229.6852274279,10114.3348278258,9613.18032330227,0.146437726536881,-65812.5735801421
166,0.366668725223275,0.454517733490967,9213.15666042492,9624.73080302616,10094.6112197703,0.146257114940189,-65386.0708490545
167,0.366669869189818,0.454542184546234,9195.92424110117,9607.98760762506,10153.4416463084,0.145758222539687,-65775.4772742121
168,0.383319063337946,0.434750904685147,9326.06006212211,9621.88529935074,10383.2527729345,0.151605488303549,-73246.3194180727
169,0.350003626222712,0.619068092205485,10075.3893105468,10543.326635057,9953.43008250799,0.146792508983072,-74025.3955824645
170,0.333336545902686,0.65004707006912,10192.1301451006,10803.1004091161,10048.6217504861,0.140104376170657,-69931.1563479928
171,0.299991474694842,0.666703820647991,10624.1339323684,10884.741364908,10196.9353002258,0.131326895258775,-70571.8930203859
172,0.299991457368353,0.666693076182123,10717.1236411242,10791.4215826338,10104.0826343166,0.133346007134678,-69830.8247605795
173,0.299992954299845,0.666675308512826,10736.9223857418,10770.1599722486,10085.0178988743,0.13378373183387,-69791.7994252006
174,0.316657795702023,0.684214948265337,10570.89497322,10702.0676454625,9881.81762039132,0.139873908818808,-70744.9990548957
175,0.383334820563169,0.739127630350481,9603.72006249238,10622.5819542472,9488.00340620841,0.154734210460544,-70469.4540334111
176,0.383323384718442,0.739136925614046,9685.65769979278,10609.6570914075,9382.90458224824,0.156620627989534,-70788.8579487279
177,0.366672708072601,0.72725852339733,9628.47547614146,10518.323635044,9363.50392378874,0.150796596050255,-70223.5476623001
178,0.366644141094808,0.681821697497049,9388.9493185434,10303.0464342406,9352.15683011186,0.149037228391926,-70116.3324970892
179,0.333320108297243,0.700019800354677,9740.1503750884,10440.9170047088,9391.28258214916,0.14067411334986,-70249.322642101
180,0.283331002779149,0.647033444214196,10895.0925311959,10522.7947088152,9760.08017154619,0.132090069223509,-72269.9206047757
181,0.36665971530823,0.681813872150038,9716.15538724112,10489.5524261397,9384.45916780102,0.152007234223795,-72153.2526892535
182,0.349995359352246,0.714294848422903,9924.91768102971,10417.8371397702,9191.95767419273,0.150483230584436,-73907.5598022705
183,0.350001384332718,0.714279826148878,9986.13338435346,10363.2408914969,9128.08962460696,0.152052808098907,-72757.7677895911
184,0.350005468286399,0.761921487303653,9923.92403100502,10372.7528047614,9025.79258499976,0.15186392828743,-71743.5045164833
185,0.333343133876721,0.750001960252106,10194.3047397572,10301.2790029689,8979.7250983309,0.149837765525693,-72425.6676445128
186,0.350000302483667,0.714278344142236,10025.871796815,10047.9186107365,8942.47876736657,0.155961914516719,-74022.1544821607
187,0.350005259530026,0.714284194984001,10063.3358863345,9967.13215722487,8921.53499757196,0.157165594896316,-75055.1542950859
188,0.333345506679442,0.700006670265898,10075.1773392939,9922.10365741327,8944.44042476738,0.151113887628816,-74790.5535226474
189,0.316678254303691,0.736857500508848,10484.9394154658,9843.07505607741,8783.74288686036,0.151288401749152,-78187.4723723391
190,0.316652858066545,0.736833408079241,10449.2449149147,9840.58833378414,8833.25152146444,0.150518127365998,-77434.4819280328
191,0.316665708537553,0.736858662328809,10407.6024194796,9924.36231906646,8859.68299075434,0.149264683608832,-77509.564417908
192,0.316685716239444,0.736816754640377,10461.8056887075,9935.05346841678,8782.20959086528,0.150388069088999,-76568.0443834253
193,0.316679162866429,0.736847159471301,10447.5343357399,9932.82920310492,8779.34721630107,0.150245791559242,-76575.5489623081
