i,eta,kappa,phi_plus,phi_minus,omega_plus,omega_minus,epsilon_b,epsilon_s,mu,alpha,delta,pin,alpha_prior,delta_prior,pin_prior,log_likelihood,n_iter,pls_next
90,0.327885513827189,0.4000099990001,0.1250390551771543,0.1667083229192702,0.1429081559777175,0.20005998800239955,9744.23194417232,10423.325469182882,8059.713039117002,0.31464233953869847,0.4285867314146968,0.11169769909296408,0.0019940179461615157,0.5,0.0007962499082236937,-71123.95156047691,6,-82.15739417021219
91,0.32788551382718856,0.35001499850015,0.1250390551771543,0.1667083229192702,0.1429081559777175,0.20005998800239955,9762.00752990998,10460.461001292048,7988.914374325593,0.31373511345143246,0.39242813160560963,0.11027397285516612,0.9990029910269193,0.999001996007984,0.28297809106715155,-70857.79613001786,7,-41.574935612964744
92,0.3278855138271889,0.35001499850015005,0.11768511439157794,0.1818594928655821,0.1333822157045727,0.22228393690291043,9730.640849835896,10451.737794738216,8029.951531144718,0.31464233953869836,0.39288009712204536,0.11125849918689974,0.0019940179461615157,0.5,0.0007927298687670179,-70645.54956218292,6,-661.446651971219
93,0.31149287739947207,0.3158088622250289,0.11768511439157794,0.1818594928655821,0.1333822157045727,0.22228393690291043,9764.132966441055,10440.634617884712,8013.871139844071,0.30274109265692867,0.36785840394798724,0.10720424584881301,0.9990029910269193,0.999001996007984,0.28378933390418093,-70859.5270217477,6,-922.3152619482056
94,0.30646904182055734,0.3158088622250289,0.11768511439157792,0.1000699790062981,0.13338221570457268,0.22228393690291043,9702.005667006299,10404.757294869734,8106.8263437265405,0.2922372908733352,0.345993288519797,0.10540708420022724,0.9990029910269193,0.999001996007984,0.28713342552245535,-71574.67516619619,7,-135.87110309873754
95,0.30160468549116715,0.315808862225029,0.11768511439157794,0.11118516050205487,0.1333822157045727,0.25006248437890527,9698.862879341385,10419.656290239931,8183.97187051798,0.2921727016369131,0.34618934092132597,0.1062270147621354,0.0019940179461615157,0.5,0.0008104851230471682,-71506.62867623579,7,-3109.1727820382994
96,0.30160468549116715,0.315808862225029,0.11768511439157792,0.11118516050205487,0.13338221570457268,0.25006248437890527,9636.537368404815,10366.487211724061,8243.106891074616,0.29217270163691317,0.3461893409213259,0.10746347872396227,0.0019940179461615157,0.5,0.0008210462147906695,-74520.7672950823,7,-605.2295825729132
97,0.3220514211141807,0.5789390590464162,0.00012495314257153568,0.45452892787347193,0.1250937265683579,8.331944675887355e-05,10494.45217576749,9256.261243969975,7871.2068632662085,0.3371119774404835,0.7332866759981337,0.11843668212420555,0.0019940179461615157,0.5,0.0007940404321196122,-73453.097888493,10,-411.8201377921819
98,0.3220514211141807,0.5789390590464162,0.00012495314257153568,0.4545289278734717,0.1250937265683579,8.33194467588735e-05,10552.047837818818,9278.52896535026,7839.8150648549745,0.3371119774404836,0.7332866759981337,0.11760067677377951,0.0019940179461615157,0.5,0.0007876935848257487,-73120.09234549255,10,-2635.5865493114493
99,0.3220514211141807,0.5789390590464162,0.0001249531425715357,0.4545289278734717,0.12509372656835793,8.33194467588735e-05,10521.276354069489,9193.236543861192,7911.078398256229,0.3371119774404836,0.7332866759981337,0.11915766877742358,0.0019940179461615157,0.5,0.0007995236823355486,-75055.45050314108,9,-1004.0158053961037
100,0.338999711879057,0.5999900009999002,0.0001249531425715357,0.4545289278734717,0.12509372656835793,8.33194467588735e-05,10555.858203976133,9147.126209068374,7874.569888743916,0.3504903784623478,0.7486419875642673,0.12286727907565705,0.0019940179461615157,0.5,0.0007963022140893953,-75421.32987041236,9,-666.574186045555
101,0.3276037446338984,0.578939059046416,0.00012495314257153568,0.4782419684388992,0.1250937265683579,8.33194467588735e-05,10537.835822289686,9112.15160380326,7778.355851766928,0.3483467963913762,0.741888666709669,0.12118155359542218,0.9990029910269193,0.999001996007984,0.28338563374769654,-75874.56948000299,9,-715.6169005864823
102,0.3571594378872561,0.5499950004999501,0.10006997900629812,0.4347693779072294,0.11119751166407466,7.691124442393477e-05,10276.722510126616,9167.372895264261,7474.742151797837,0.35805609660657745,0.6797705481826538,0.12099095124213977,0.9990029910269193,0.999001996007984,0.2774769756005401,-72841.72797251056,9,-652.9938852311975
103,0.3508938126063539,0.5499950004999499,0.10006997900629812,0.4545289278734717,0.11119751166407466,8.33194467588735e-05,10240.517415599661,9191.121204958887,7512.803899775165,0.3595816153422685,0.6874648503405609,0.12205545442300111,0.0019940179461615157,0.5,0.0007703480785809858,-73413.1376094354,9,-33.91426842192862
104,0.3333508762696702,0.5263130196821387,0.10006997900629812,0.45452892787347193,0.11119751166407466,8.331944675887355e-05,10299.088750275521,9222.285456506886,7473.423095536402,0.34611299798013345,0.6684772534177011,0.11700046012537603,0.9990029910269193,0.999001996007984,0.2766471353407119,-71485.65953170272,9,-623.0795209320611
105,0.3276037446338983,0.5263130196821388,0.10006997900629812,0.47617007094224634,0.11119751166407466,9.089256498818395e-05,10246.509824579865,9247.035775234084,7381.071436512748,0.3483467963913762,0.6773850222537575,0.11652868470201691,0.0019940179461615157,0.5,0.0007544489461797394,-71542.05537837744,9,-675.2978919723316
106,0.3276037446338983,0.5263130196821388,0.10006997900629812,0.47617007094224634,0.11119751166407466,9.089256498818395e-05,10233.268691296435,9279.408119026299,7362.992920138156,0.3483467963913762,0.6773850222537575,0.11617569819931142,0.0019940179461615157,0.5,0.0007518651246143474,-71986.05790150508,9,-3064.901857657854
