model,param,window,MIV
PIN,pin,60,0.003529231226769965
HPIN,pin,60,0.00404329351071492
PIN,alpha,60,0.013931969547358154
HPIN,alpha,60,0.014975118036000464
PIN,delta,60,0.03372051265427388
HPIN,delta,60,0.03491002538769321
PIN,epsilon_b,60,120.57239361437875
HPIN,epsilon_b,60,110.51732153903166
PIN,epsilon_s,60,122.0039331377714
HPIN,epsilon_s,60,113.65717901444958
PIN,mu,60,177.8287244369157
HPIN,mu,60,177.0051948563378
PIN,pin,90,0.00223214944038852
HPIN,pin,90,0.0026634238103350923
PIN,alpha,90,0.008718157031324072
HPIN,alpha,90,0.009954482059436031
PIN,delta,90,0.0238511247706869
HPIN,delta,90,0.024790938306719537
PIN,epsilon_b,90,84.6736849056507
HPIN,epsilon_b,90,77.96875835243122
PIN,epsilon_s,90,85.19420388304273
HPIN,epsilon_s,90,81.70080784928815
PIN,mu,90,109.24020875066267
HPIN,mu,90,114.16714449455968
PIN,pin,120,0.0016939776327062883
HPIN,pin,120,0.0019334279966805952
PIN,alpha,120,0.006695970763923193
HPIN,alpha,120,0.0070975423656600405
PIN,delta,120,0.018583459533405906
HPIN,delta,120,0.019880482239981116
PIN,epsilon_b,120,64.10539185384145
HPIN,epsilon_b,120,62.991309518307766
PIN,epsilon_s,120,67.40771525639053
HPIN,epsilon_s,120,63.76481498938824
PIN,mu,120,83.3876049788636
HPIN,mu,120,81.84859221263152
PIN,pin,150,0.001372627723231033
HPIN,pin,150,0.0016264218719197108
PIN,alpha,150,0.005379694752260027
HPIN,alpha,150,0.006023674059479624
PIN,delta,150,0.017792217201906282
HPIN,delta,150,0.017819120831813452
PIN,epsilon_b,150,61.26551662284026
HPIN,epsilon_b,150,55.73906280486362
PIN,epsilon_s,150,62.40235887843515
HPIN,epsilon_s,150,56.26719884960264
PIN,mu,150,64.55021935727116
HPIN,mu,150,67.26656617292295
PIN,pin,180,0.0011924103707143354
HPIN,pin,180,0.0013619749282290105
PIN,alpha,180,0.004737323094706803
HPIN,alpha,180,0.0050509498827947625
PIN,delta,180,0.0160545265367439
HPIN,delta,180,0.014685327396797246
PIN,epsilon_b,180,54.58810633915276
HPIN,epsilon_b,180,46.44137600041544
PIN,epsilon_s,180,54.575058545090386
HPIN,epsilon_s,180,47.15405252676986
PIN,mu,180,54.83224859513226
HPIN,mu,180,55.77122254310035
