model,param,window,half-life
PIN,pin,60,13.212118084577183
HPIN,pin,60,10.064412849050592
PIN,alpha,60,11.800514067185704
HPIN,alpha,60,11.865911792081741
PIN,delta,60,8.013833140394985
HPIN,delta,60,5.174965808655794
PIN,epsilon_b,60,9.329516294232507
HPIN,epsilon_b,60,9.685553879128985
PIN,epsilon_s,60,10.179228015956886
HPIN,epsilon_s,60,11.337795656306323
PIN,mu,60,19.027812063149582
HPIN,mu,60,21.26594241833865
PIN,pin,90,19.50924510164171
HPIN,pin,90,13.811665628517664
PIN,alpha,90,19.004766837220966
HPIN,alpha,90,15.068398453100519
PIN,delta,90,9.606551800566843
HPIN,delta,90,5.739711618738505
PIN,epsilon_b,90,10.013739608231424
HPIN,epsilon_b,90,10.43885821238742
PIN,epsilon_s,90,12.598451518499767
HPIN,epsilon_s,90,13.67894226922864
PIN,mu,90,30.970778396282327
HPIN,mu,90,30.250523165450137
PIN,pin,120,23.983849497054496
HPIN,pin,120,21.11842559455528
PIN,alpha,120,23.30281006428668
HPIN,alpha,120,23.587963977252926
PIN,delta,120,11.547472960301462
HPIN,delta,120,6.778870215552865
PIN,epsilon_b,120,13.653644085205576
HPIN,epsilon_b,120,11.016599600612716
PIN,epsilon_s,120,13.321132506534651
HPIN,epsilon_s,120,15.320729514781124
PIN,mu,120,40.59138118785648
HPIN,mu,120,45.63363884377139
PIN,pin,150,27.93933265046705
HPIN,pin,150,22.064529964381123
PIN,alpha,150,30.577571276062073
HPIN,alpha,150,25.277309268355758
PIN,delta,150,9.624448366860774
HPIN,delta,150,7.141851312311812
PIN,epsilon_b,150,11.884088193595817
HPIN,epsilon_b,150,11.398523338696277
PIN,epsilon_s,150,11.184756507425668
HPIN,epsilon_s,150,15.705670083988329
PIN,mu,150,59.467409504040475
HPIN,mu,150,52.34393672848478
PIN,pin,180,29.5614168145572
HPIN,pin,180,25.096347362688764
PIN,alpha,180,30.201674088988092
HPIN,alpha,180,27.026067466091504
PIN,delta,180,10.357062640182068
HPIN,delta,180,9.15473043737032
PIN,epsilon_b,180,12.717483015047486
HPIN,epsilon_b,180,14.66153865630195
PIN,epsilon_s,180,11.710317232479293
HPIN,epsilon_s,180,18.580718149047588
PIN,mu,180,64.46521778606267
HPIN,mu,180,64.111638005756
