model,param,window,mean
PIN,pin,60,0.13607375734361152
HPIN,pin,60,0.13165143153291647
PIN,alpha,60,0.39080814163246175
HPIN,alpha,60,0.3787340062783078
PIN,delta,60,0.5537719262261844
HPIN,delta,60,0.5332493537307916
PIN,epsilon_b,60,9934.777204153546
HPIN,epsilon_b,60,9916.251533198858
PIN,epsilon_s,60,9638.480130765913
HPIN,epsilon_s,60,9758.392562865356
PIN,mu,60,8067.117996352226
HPIN,mu,60,8050.686275159755
PIN,pin,90,0.13583125939741725
HPIN,pin,90,0.13244975173589096
PIN,alpha,90,0.39040665480870923
HPIN,alpha,90,0.38118867631472547
PIN,delta,90,0.5567360118060719
HPIN,delta,90,0.5314332902391133
PIN,epsilon_b,90,9946.708946003235
HPIN,epsilon_b,90,9908.063905514071
PIN,epsilon_s,90,9629.372482369086
HPIN,epsilon_s,90,9745.504330972923
PIN,mu,90,7983.1653990767045
HPIN,mu,90,7977.031307157901
PIN,pin,120,0.1356888113914967
HPIN,pin,120,0.13285899173798618
PIN,alpha,120,0.38982436974289103
HPIN,alpha,120,0.3822305906779908
PIN,delta,120,0.5619234830842947
HPIN,delta,120,0.5257194659163463
PIN,epsilon_b,120,9961.0368447314
HPIN,epsilon_b,120,9888.721222147382
PIN,epsilon_s,120,9620.942412286386
HPIN,epsilon_s,120,9757.606021254174
PIN,mu,120,7966.634478321302
HPIN,mu,120,7956.926261858239
PIN,pin,150,0.13587799176137189
HPIN,pin,150,0.13341909050364498
PIN,alpha,150,0.39081244250316627
HPIN,alpha,150,0.3839298908521934
PIN,delta,150,0.5612583901368766
HPIN,delta,150,0.5269016419561112
PIN,epsilon_b,150,9957.906736953588
HPIN,epsilon_b,150,9888.222347112136
PIN,epsilon_s,150,9623.615863568808
HPIN,epsilon_s,150,9749.195222098899
PIN,mu,150,7945.28083860976
HPIN,mu,150,7940.403716366997
PIN,pin,180,0.13608765727683816
HPIN,pin,180,0.1336522718779725
PIN,alpha,180,0.3916955399687206
HPIN,alpha,180,0.3847195624450785
PIN,delta,180,0.5601090495544699
HPIN,delta,180,0.5268178989848462
PIN,epsilon_b,180,9952.646840397521
HPIN,epsilon_b,180,9884.55603636983
PIN,epsilon_s,180,9626.640286233625
HPIN,epsilon_s,180,9750.012524900347
PIN,mu,180,7931.122798058192
HPIN,mu,180,7929.672481150103
