model,param,window,lag,PACF
PIN,pin,60,1,0.9488894415612324
PIN,pin,60,2,0.19071945591136555
PIN,pin,60,3,0.05163743786415811
PIN,pin,60,4,0.02973046010415256
PIN,pin,60,5,0.006062890311936271
HPIN,pin,60,1,0.933446993938868
HPIN,pin,60,2,0.23355869083594677
HPIN,pin,60,3,0.0673629585071261
HPIN,pin,60,4,0.03419115647444609
HPIN,pin,60,5,0.022433978066588492
PIN,alpha,60,1,0.9429531046578223
PIN,alpha,60,2,0.19477175931986587
PIN,alpha,60,3,0.06927830418072327
PIN,alpha,60,4,0.05605743171751304
PIN,alpha,60,5,0.014095828246414257
HPIN,alpha,60,1,0.9432584184706118
HPIN,alpha,60,2,0.19091958877360057
HPIN,alpha,60,3,0.057296080200105626
HPIN,alpha,60,4,0.030314415471889927
HPIN,alpha,60,5,0.007414812879792693
PIN,delta,60,1,0.9171412007457865
PIN,delta,60,2,0.22256099797494497
PIN,delta,60,3,0.11373089034822087
PIN,delta,60,4,0.060162375802083404
PIN,delta,60,5,0.06021727140621622
HPIN,delta,60,1,0.8746404694451428
HPIN,delta,60,2,0.10932473898573207
HPIN,delta,60,3,0.0786348645510188
HPIN,delta,60,4,0.022742450785958372
HPIN,delta,60,5,0.058630366063488454
PIN,epsilon_b,60,1,0.9283967046048234
PIN,epsilon_b,60,2,0.2055617712426287
PIN,epsilon_b,60,3,0.11746732120205791
PIN,epsilon_b,60,4,0.04131137219895717
PIN,epsilon_b,60,5,0.05063055117075316
HPIN,epsilon_b,60,1,0.9309357150923534
HPIN,epsilon_b,60,2,0.12355370028470909
HPIN,epsilon_b,60,3,0.057073343629114225
HPIN,epsilon_b,60,4,0.015472265988100262
HPIN,epsilon_b,60,5,0.05432810158245605
PIN,epsilon_s,60,1,0.9341723976838912
PIN,epsilon_s,60,2,0.23612603058122097
PIN,epsilon_s,60,3,0.1025504633697516
PIN,epsilon_s,60,4,0.028971258104197158
PIN,epsilon_s,60,5,0.064300380468563
HPIN,epsilon_s,60,1,0.9406953209656289
HPIN,epsilon_s,60,2,0.12335864352046673
HPIN,epsilon_s,60,3,0.06594639553102848
HPIN,epsilon_s,60,4,0.014702884227935687
HPIN,epsilon_s,60,5,0.056299442256520414
PIN,mu,60,1,0.9642274122639694
PIN,mu,60,2,0.11916727570436884
PIN,mu,60,3,0.07055926108000814
PIN,mu,60,4,-0.015860478669928634
PIN,mu,60,5,0.00619243317920621
HPIN,mu,60,1,0.9679312299903287
HPIN,mu,60,2,0.08941506676390075
HPIN,mu,60,3,0.05005811135592841
HPIN,mu,60,4,0.01438682957911657
