dgp,window,rho,spectral_gap_true,switch_rate_true,entropy_true,alpha_true,delta_true,pin_true,gap_hpin,switch_hpin,entropy_hpin,pin_hpin,miv_hpin,bias_pin_hpin,err_gap_hpin,err_switch_hpin,gap_pin,switch_pin,entropy_pin,pin_pin,miv_pin,bias_pin_pin,err_gap_pin,err_switch_pin,n_paired
overdispersed,60,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8271354945745261,0.5397658965174954,0.7885997094889838,0.13296770532750454,0.003971167231425301,0.016688637409711146,-0.17286450542547394,-0.09735322254067624,1.0,0.5344057469212677,0.8190318285391308,0.135905173404785,0.0032678346445411156,0.019626105486991605,0.0,-0.1027133721369039,4940.0
overdispersed,90,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8614311176656326,0.5401591958249368,0.807843561766831,0.1332775914529789,0.0027424469291527608,0.01699852353518551,-0.13856888233436737,-0.09695992323323488,1.0,0.5393519498017745,0.8279303484873336,0.1356300959002295,0.0022108518787042446,0.01935102798243611,0.0,-0.09776716925639717,4910.0
overdispersed,120,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8806173946467126,0.5411188791643872,0.8181971132848894,0.13273156931548002,0.0019106917008970313,0.016452501397686628,-0.11938260535328737,-0.09600023989378448,1.0,0.5411586871782349,0.8317868819863121,0.13462477483331098,0.0016291532122066675,0.01834570691551758,0.0,-0.09596043187993675,4880.0
overdispersed,150,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8933123085473469,0.5413202433450328,0.8236628332771463,0.13298533510562804,0.001564557949473412,0.016706267187834647,-0.10668769145265311,-0.09579887571313883,1.0,0.5414583558081432,0.8329428432660602,0.1346073079798,0.001335149782181598,0.018328240062006604,0.0,-0.09566076325002848,4850.0
overdispersed,180,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.9020114375714421,0.5419309894890911,0.8270937647416436,0.1323581989077145,0.0012517225936755914,0.0160791309899211,-0.09798856242855791,-0.09518812956908052,1.0,0.5421576661093973,0.8341961727312038,0.1340305236600295,0.0010679438263855227,0.01775145574223609,0.0,-0.09496145294877434,4820.0
overdispersed,60,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.8092806379816576,0.4998749872389394,0.7685959549936342,0.13226841258772404,0.004324524278791216,0.01598934466993064,0.009280637981657569,-0.009820308007597922,1.0,0.5248015064597241,0.8047978534590307,0.136885276434406,0.0035129646466213194,0.020606208516612615,0.19999999999999996,0.015106211213186782,4940.0
overdispersed,90,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.8384041363536133,0.5015175986510848,0.7888354474504782,0.13278467879610523,0.0029121158717672004,0.01650561087831183,0.03840413635361328,-0.008177696595452533,1.0,0.527158816008441,0.809773094192725,0.136130484637368,0.00240082262808719,0.01985141671957459,0.19999999999999996,0.017463520761903606,4910.0
overdispersed,120,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.8515201090860219,0.5028501486771878,0.7996355154064195,0.1341226039636546,0.002249928145491037,0.01784353604586121,0.05152010908602189,-0.006845146569349536,1.0,0.5294816528775266,0.814186132442102,0.1365892191893145,0.00180229188553856,0.020310151271521096,0.19999999999999996,0.019786357630989237,4880.0
overdispersed,150,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.8592218470280206,0.5026190775107521,0.8051695463924362,0.13496731711562115,0.0017233162122499367,0.018688249197827758,0.05922184702802058,-0.007076217735785262,1.0,0.5310584413929201,0.8172464063768158,0.1366840940966605,0.0014196847325444438,0.020405026178867094,0.19999999999999996,0.021363146146382794,4850.0
overdispersed,180,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.8641522372810589,0.5029227002038215,0.809517617118036,0.13474359242273481,0.0015636781670769035,0.018464524504941418,0.0641522372810589,-0.006772595042715879,1.0,0.5316263934867482,0.8185258077705693,0.13665464849362902,0.001202101378606391,0.02037558057583562,0.19999999999999996,0.02193109824021089,4820.0
overdispersed,60,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.7436270965482425,0.47889715428961943,0.7608474973448168,0.13239692217290527,0.004394521313203338,0.016117854255111877,0.1936270965482425,0.12848163880762498,1.0,0.5325550987256144,0.8134606853061042,0.13754671056076,0.003502289166815976,0.021267642642966614,0.44999999999999996,0.1821395832436199,4940.0
overdispersed,90,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.749794849632986,0.47841503752080766,0.7806981061812354,0.13429494382659019,0.00282082521267342,0.01801587590879679,0.199794849632986,0.1279995220388132,1.0,0.5363951952388402,0.8211090876128526,0.13833912617001048,0.0024412708722680236,0.022060058252217088,0.44999999999999996,0.1859796797568457,4910.0
overdispersed,120,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.759451814553861,0.4791933514391891,0.7902911297974681,0.13435589985370472,0.002239661718679499,0.018076831935911322,0.20945181455386097,0.12877783595719466,1.0,0.537254462729986,0.8240275608206786,0.13870664504256,0.0017695649607835373,0.022427577124766604,0.44999999999999996,0.18683894724799155,4880.0
overdispersed,150,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.7673285141688319,0.47862952328076636,0.794748165008391,0.13378038231219308,0.0016731689462304343,0.017501314394399684,0.2173285141688318,0.1282140077987719,1.0,0.5366589644214063,0.8244722857569867,0.13748471350706248,0.0014276159010813622,0.021205645589269087,0.44999999999999996,0.1862434489394118,4850.0
overdispersed,180,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.769649090830635,0.4782670015097427,0.7983988140545775,0.1340822149919412,0.0014476242399759462,0.017803147074147804,0.219649090830635,0.12785148602774826,1.0,0.5365462708429455,0.825130502513419,0.137791894487181,0.0012543300488305888,0.02151282656938759,0.44999999999999996,0.18613075536095103,4820.0
overdispersed,60,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.6873157105479792,0.4449594713256821,0.7403781975396965,0.13092668915793626,0.004308207332856827,0.014647621240142863,0.2873157105479792,0.19011182370241342,1.0,0.5261380458513324,0.8020743866667719,0.137057870711637,0.0038967995623296033,0.0207788027938436,0.6,0.2712903982280637,4940.0
overdispersed,90,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.6911863184421908,0.44494132470531766,0.7572073183235928,0.1314810832645673,0.0029681432024200225,0.015202015346773914,0.2911863184421908,0.190093677082049,1.0,0.5290446904294445,0.8112210595899924,0.135565882206291,0.0024651852559783695,0.019286814288497614,0.6,0.2741970428061758,4910.0
overdispersed,120,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.6927790899803531,0.4441206754626565,0.7660045382127231,0.13048146591669796,0.002126564030509599,0.014202397998904562,0.29277908998035307,0.18927302783938782,1.0,0.529620923419404,0.8142874253416951,0.1342325576498205,0.0018606263777770679,0.01795348973202711,0.6,0.27477327579613536,4880.0
overdispersed,150,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.6923012066963026,0.4426878993393956,0.7696425133748728,0.13081902035715176,0.0016149774941171644,0.014539952439358364,0.29230120669630255,0.18784025171612695,1.0,0.5293031509170812,0.8154010094933731,0.13386366581633202,0.0014931523537243183,0.017584597898538626,0.6,0.2744555032938126,4850.0
overdispersed,180,0.6,0.4,0.25484764762326867,0.6673281450645309,0.52631578,0.5,0.1162790679177934,0.6923553138523667,0.4420532018529169,0.7722978985358105,0.13062945188286446,0.0014050005367043101,0.014350383965071059,0.2923553138523667,0.18720555422964824,1.0,0.5294532128583977,0.8164869335724011,0.133598515448221,0.0013265494429487666,0.017319447530427592,0.6,0.2746055652351291,4820.0
overdispersed,60,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.6130422644704805,0.42365732959874236,0.7071347212046717,0.12773404572922864,0.004769202057098745,0.011454977811435244,0.41304226447048054,0.29623350578710805,1.0,0.5196168067738655,0.786013350688717,0.1330209020223655,0.0038797839066402715,0.016741834104572098,0.8,0.39219298296223115,4940.0
overdispersed,90,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.6035390043075086,0.4188319617514881,0.7202238247270315,0.12791983601745635,0.0029844668510790513,0.011640768099662954,0.40353900430750866,0.2914081379398538,1.0,0.5244747819952309,0.7996274326056851,0.1332197322726645,0.0027117102124256335,0.016940664354871113,0.8,0.3970509581835966,4910.0
overdispersed,120,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.6006027519498918,0.42028412932951287,0.7315712532718657,0.1290558713417838,0.002209316380453053,0.012776803423990415,0.4006027519498918,0.29286030551787856,1.0,0.5271783164382452,0.805538020149461,0.1334949386831315,0.002096575045274724,0.017215870765338107,0.8,0.3997544926266109,4880.0
overdispersed,150,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.5972287952009129,0.4200079663521072,0.7387624803615561,0.12962092858460317,0.0018015890774344535,0.013341860666809771,0.3972287952009129,0.2925841425404729,1.0,0.5308705005064496,0.8124660975602459,0.1341280109214435,0.0016557128664125434,0.0178489430036501,0.8,0.40344667669481526,4850.0
overdispersed,180,0.8,0.19999999999999996,0.1274238238116343,0.4228675075829085,0.52631578,0.5,0.1162790679177934,0.5962618478394569,0.4193467578578867,0.7430767605384645,0.13047818691495824,0.0015884772740258897,0.014199118997164847,0.39626184783945695,0.2919229340462524,1.0,0.5322625975383197,0.815656875773144,0.1338708375084135,0.001396695229380418,0.0175917695906201,0.8,0.4048387737266854,4820.0
overdispersed,60,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.6008519594340155,0.4247701263432848,0.6869973839755334,0.12856223542281303,0.00489868686887178,0.012283167505019635,0.5008519594340155,0.36105821443746766,1.0,0.5197190082702874,0.777459612494691,0.13468666171465,0.0040600684061019915,0.018407593796856594,0.9,0.45600709636447023,4940.0
overdispersed,90,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.585407037624375,0.4210478119030232,0.7107745828561143,0.1307502908010991,0.003033469125878103,0.014471222883305698,0.485407037624375,0.35733589999720605,1.0,0.5315633049242152,0.8069460051824331,0.134781209486526,0.0025521379958768327,0.018502141568732602,0.9,0.46785139301839807,4910.0
overdispersed,120,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.5724761916667965,0.4170467172328454,0.7225561636647931,0.13214730939139036,0.0022448522249747735,0.01586824147359696,0.47247619166679655,0.35333480532702827,1.0,0.5370895325427945,0.8203440450193206,0.13524041420571148,0.001958872376339014,0.018961346287918082,0.9,0.4733776206369773,4880.0
overdispersed,150,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.5641237028518667,0.4131768766929718,0.7271484279566292,0.1328416828801357,0.0018425252620523334,0.016562614962342306,0.46412370285186677,0.34946496478715466,1.0,0.5392582811794031,0.8250503353579847,0.13710749519701299,0.0015144268032267667,0.02082842727921959,0.9,0.47554636927358596,4850.0
overdispersed,180,0.9,0.09999999999999998,0.06371191190581715,0.2536676446996131,0.52631578,0.5,0.1162790679177934,0.5604544757100296,0.4121062606097314,0.7305679053824775,0.13429867340533955,0.0015323278235679521,0.01801960548754615,0.4604544757100296,0.3483943487039142,1.0,0.5399514101048709,0.8276808368686526,0.137233482761599,0.0012483973691405706,0.0209544148438056,0.9,0.47623949819905376,4820.0
clean,60,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8364321975327984,0.6292641463850089,0.9118252989154572,0.11581022645526451,0.0018505560040301468,-0.0004688414625288878,-0.1635678024672016,-0.007854972673162708,,,,,,,,,
clean,90,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8689213549707202,0.6292282104869156,0.9283577543623704,0.1151727345183528,0.0012175005979974925,-0.0011063333994405927,-0.1310786450292798,-0.007890908571256072,,,,,,,,,
clean,120,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.8911836069765109,0.6292558300575071,0.9364205444197458,0.11505709164676389,0.0008518166428374,-0.001221976271029504,-0.10881639302348911,-0.007863289000664575,,,,,,,,,
clean,150,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.9064172837078465,0.6292965682301878,0.941297185399598,0.11475553138982031,0.0007131168953818666,-0.0015235365279730878,-0.09358271629215353,-0.007822550827983887,,,,,,,,,
clean,180,0.0,1.0,0.6371191190581716,0.9617367306939595,0.52631578,0.5,0.1162790679177934,0.9143771778702088,0.6291772993056421,0.9446010221737766,0.1149015494754013,0.0005755445445928447,-0.0013775184423921033,-0.08562282212979122,-0.0079418197525295,,,,,,,,,
clean,60,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.7427592465379644,0.5134438929846792,0.8874405033499023,0.11648920250119504,0.002199965699895699,0.00021013458340164715,-0.05724075346203561,0.0037485977381418456,,,,,,,,,
clean,90,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.75474786106402,0.5136628267332962,0.9029044434454272,0.11655500039622835,0.0014988284418452835,0.00027593247843495095,-0.04525213893598001,0.00396753148675888,,,,,,,,,
clean,120,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.7619068203120761,0.5137556866718589,0.909603462137968,0.1156858582043619,0.0011142299167383283,-0.0005932097134314918,-0.03809317968792392,0.004060391425321552,,,,,,,,,
clean,150,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.7658918804811439,0.5137293100866693,0.9132762824873356,0.1151677433880044,0.0008501422328886343,-0.0011113245297890012,-0.03410811951885617,0.004034014840131994,,,,,,,,,
clean,180,0.2,0.8,0.5096952952465373,0.9277137549705662,0.52631578,0.5,0.1162790679177934,0.7687614638721891,0.5137456575764899,0.9157445117388512,0.1150102752777236,0.0007259146845662445,-0.0012687926400697935,-0.031238536127810912,0.004050362329952595,,,,,,,,,
clean,60,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.48540005378882956,0.34788029012149435,0.7470160094844737,0.11976817672187495,0.0030509147295074966,0.003489108804081556,-0.06459994621117049,-0.002535225360500104,,,,,,,,,
clean,90,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.4896061772082249,0.34816426721770494,0.7641556624119481,0.1199410044204928,0.0019715617333025217,0.0036619365026994005,-0.06039382279177513,-0.002251248264289518,,,,,,,,,
clean,120,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.4951741516596605,0.34814490608191256,0.7725037414493534,0.11987293460110529,0.0014695736938933391,0.0035938666833118943,-0.054825848340339545,-0.002270609400081891,,,,,,,,,
clean,150,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.4986740637052728,0.3483982707615591,0.7776751993545219,0.11951851073862704,0.0011813231498536655,0.003239442820833646,-0.05132593629472726,-0.0020172447204353516,,,,,,,,,
clean,180,0.45,0.55,0.35041551548199446,0.7958920174451602,0.52631578,0.5,0.1162790679177934,0.5011402119630443,0.3485179906767835,0.7810940772433655,0.11876420358599755,0.0009658407180141842,0.002485135668204158,-0.04885978803695579,-0.0018975248052109372,,,,,,,,,
