model,window,mean,std,min,q25,q50,q75,max
HPIN,60,-884.4504533871096,1342.9562491471845,-22583.14504302087,-1003.1001175815708,-501.21363629488826,-226.20830311718663,-11.81231632953946
PIN,60,-885.114623266014,1350.5638009198756,-22583.102222517897,-996.7707450104577,-507.9748482612352,-222.38675821540295,-12.644917376087651
HPIN,90,-866.0815635832083,1299.3625877365394,-17056.568692197146,-991.740828709188,-486.14696415399567,-218.98612826138918,-11.558694934671708
PIN,90,-866.545687233375,1305.1471797778272,-17385.30976117577,-971.0405474734252,-498.6346787171877,-220.90573412191998,-12.041991015282843
HPIN,120,-860.5616297582038,1302.7342490985914,-18971.29056118003,-981.17716004078,-488.03857228080346,-221.73853691698122,-11.396047762944482
PIN,120,-861.3929532479395,1307.2603147201983,-19328.01674239159,-961.9414819612593,-493.54585758019067,-221.96296954862126,-12.291842397981437
HPIN,150,-858.6486883860194,1298.2199152327921,-19761.707667552517,-972.6450880121565,-488.3506892492453,-219.69368482060116,-11.452312157668988
PIN,150,-858.8938182013894,1300.8924783934585,-19761.778845376968,-968.566631291327,-493.161157172087,-223.29367451105068,-13.21724469520399
HPIN,180,-855.5145778930672,1300.577325016382,-19936.026304718755,-972.7639120349086,-484.32990530066223,-222.2764295913098,-11.616825737149476
PIN,180,-855.0617399876522,1302.7843650599953,-19936.151019075332,-972.2536798144205,-486.28371174360393,-218.7850458570162,-12.49916296172448
