run,eps_b,eps_s,mu,alpha,delta,pin,spectral_diag,loglik,n_iter,at_best,degenerate,case
0,10224.106110359835,9394.512302802086,7892.102663812862,0.3866440984256371,0.6487920696361376,0.13460201766643395,0.4083398810525725,-4222298.2911041295,12,True,False,ig_full_series
1,9538.373761496963,10132.786178902954,7874.054657530156,0.38085635247386973,0.40181060470765284,0.13228398581174944,0.4116279374577851,-4247362.4383057775,10,False,False,ig_full_series
2,10224.106586093663,9394.516826682484,7892.095023068375,0.38664451102288017,0.6487915544742113,0.1346019995102768,0.40833934626858,-4222298.291045396,13,True,False,ig_full_series
3,10224.10311202428,9394.5020581652,7892.108884272135,0.3866442220593682,0.6487927164967102,0.13460222535453897,0.40833992031038974,-4222298.291271399,13,True,False,ig_full_series
4,9538.379538187492,10132.788978418437,7874.053271135562,0.3808560751409998,0.4018108801866235,0.1322838319733355,0.4116277984137891,-4247362.4382071905,10,False,False,ig_full_series
5,10224.104669825056,9394.509457214985,7892.100703275651,0.38664448373737625,0.6487920845557414,0.134602130261155,0.4083395051777166,-4222298.291147011,12,True,False,ig_full_series
6,10224.094571282943,9394.459099864644,7892.164065103461,0.38664199912365765,0.6487965304031287,0.1346026758666349,0.40834306056147257,-4222298.2924787495,12,True,False,ig_full_series
7,9538.364105304812,10132.772323503841,7874.084689222011,0.3808547295945448,0.4018122711365162,0.13228407168118686,0.41162712611015406,-4247362.438556029,10,False,False,ig_full_series
8,9538.343163290852,10132.76541108464,7874.079943493066,0.38085647062801553,0.4018105222380792,0.1322846897626565,0.4116280083688943,-4247362.439137741,10,False,False,ig_full_series
9,10224.119127154345,9394.544522457227,7892.109563018608,0.3866412191013848,0.6487910162819243,0.1346009834534274,0.40834241671149757,-4222298.290922836,10,True,False,ig_full_series
10,10224.105268627849,9394.513011695226,7892.09590515487,0.38664469227687165,0.6487917404971867,0.13460209760951045,0.40833921397591966,-4222298.291096191,11,True,False,ig_full_series
11,10224.106616146773,9394.515734530536,7892.097601826814,0.38664434069541337,0.64879171786496,0.1346019925633737,0.4083395547383141,-4222298.291058368,11,True,False,ig_full_series
12,10224.105029028522,9394.51010527734,7892.101340698374,0.38664437782978034,0.6487920896015293,0.13460210178190116,0.40833961085481524,-4222298.2911367025,13,True,False,ig_full_series
13,9538.360000183118,10132.736084610146,7874.188707681253,0.3808471746880622,0.4018200151288838,0.13228354644393722,0.41162290738623636,-4247362.439668133,9,False,False,ig_full_series
14,9538.37334426809,10132.785765418404,7874.055396255278,0.38085632442325845,0.4018106337854118,0.13228399297389526,0.411627923867323,-4247362.438313444,10,False,False,ig_full_series
15,9538.375249364557,10132.78974677632,7874.04569290825,0.3808569291679904,0.4018100157964397,0.13228399943531977,0.41162821720413545,-4247362.438285714,9,False,False,ig_full_series
16,9538.41684743686,10132.796165605989,7874.077101128029,0.3808518172285217,0.4018151849113223,0.1322826364332557,0.4116255548162442,-4247362.437984212,10,False,False,ig_full_series
17,10224.1061301913,9394.516651096379,7892.092723078367,0.3866447424330584,0.6487914559816332,0.13460203902959583,0.4083390937473376,-4222298.29104897,13,True,False,ig_full_series
18,10224.126057527095,9394.586701857257,7892.045157307829,0.38664436655132584,0.6487868741274411,0.1346006895004093,0.40833829643989983,-4222298.291223357,11,True,False,ig_full_series
19,10224.101231160976,9394.494945746983,7892.11319470104,0.3866443014016568,0.648793217775731,0.13460236627548675,0.40833996601984207,-4222298.291412954,12,True,False,ig_full_series
20,10224.096711643151,9394.470524766193,7892.147603854484,0.3866427543779428,0.6487954787568097,0.13460257989981472,0.4083420541890172,-4222298.292073421,11,True,False,ig_full_series
21,10224.104451165802,9394.509541093343,7892.098947296153,0.38664464361482953,0.6487920129068059,0.1346021533100957,0.40833932964582215,-4222298.291146476,12,True,False,ig_full_series
