statistics,window,pin_PIN,pin_HPIN,alpha_PIN,alpha_HPIN,delta_PIN,delta_HPIN,epsilon_b_PIN,epsilon_b_HPIN,epsilon_s_PIN,epsilon_s_HPIN,mu_PIN,mu_HPIN
mean,60,0.13607375734361152,0.13165143153291647,0.39080814163246175,0.3787340062783078,0.5537719262261844,0.5332493537307916,9934.777204153546,9916.251533198858,9638.480130765913,9758.392562865356,8067.117996352226,8050.686275159755
std,60,0.01682223682785203,0.0156693110497606,0.07346309316137192,0.07148511890701703,0.1961633287940034,0.13639140255856186,655.807847812311,577.2212343187612,680.381037532275,646.417240163298,1255.8508615129535,1224.6550235242657
min,60,0.0835276944020438,0.0832932334427334,0.166647275322934,0.1850321452507906,0.0714489827134449,0.1305311657828392,7788.86573930315,7798.309346995172,7918.20002078242,8009.730452465496,5336.95552743062,5225.244781162882
25%,60,0.12474883326978625,0.12109053378932144,0.3499822585747663,0.32321510518059776,0.3913040709614253,0.4375234287142322,9435.66415936708,9534.05520008363,9117.151603770446,9278.913352238,7286.3775584076775,7273.9676184529235
50%,60,0.13529741998914052,0.13153785656575445,0.39998649072456,0.37354205939614543,0.5833233632658965,0.5294011408016134,10018.17976320275,9958.60730342814,9563.85586621107,9750.6667636741,7926.47197190712,7942.881724245752
75%,60,0.14681594057486375,0.14108562283943898,0.4333491063706365,0.4248654774179334,0.7142845526747175,0.6242694237911206,10377.930754688125,10309.057437681928,10145.9209705457,10190.997757113168,8701.470008939566,8687.325424573191
max,60,0.197418395634152,0.1905145631951459,0.616676924541113,0.6101781084241387,0.962955917716908,0.9500963133160276,12027.0651454242,12027.071985912917,11925.5036315021,11925.504106043369,13949.559937044,13755.787479157998
mean,90,0.13583125939741725,0.13244975173589096,0.39040665480870923,0.38118867631472547,0.5567360118060719,0.5314332902391133,9946.708946003235,9908.063905514071,9629.372482369086,9745.504330972923,7983.1653990767045,7977.031307157901
std,90,0.012918316126118849,0.012322924151112842,0.05715544927462004,0.05656906818100925,0.17451245176530006,0.1215520138688047,555.3856641140995,483.80965844258577,599.6753889778333,584.8345707237312,931.8368536196975,939.8853374153862
min,90,0.101260967271328,0.0962434400603791,0.199992167898463,0.2232512557526379,0.111109414269249,0.1958394817402331,8600.44686250258,8561.573905141839,8295.22756203121,8295.204223297078,5413.48771776013,5413.487813541406
25%,90,0.12721384421772253,0.12459227626178929,0.35554787607923927,0.3396636471372576,0.405396314451253,0.43597303115199687,9535.823902082186,9606.469670134557,9167.589269525859,9259.787503703337,7408.130350559395,7404.686491192355
50%,90,0.135015776708667,0.1322601239245356,0.38888846454727,0.3814585757191943,0.606088904336318,0.5285117570853931,10042.7225203486,9935.497829475687,9552.303269765456,9713.86357091081,7905.25281999706,7900.478723255804
75%,90,0.143130949270691,0.1395366615004308,0.43331885123590824,0.4165593516785363,0.6904942322818167,0.6249765668937074,10370.059554274674,10259.292561608047,10091.012546801125,10202.444336235814,8509.220655920053,8543.028498997026
max,90,0.178759463950297,0.1754822398177725,0.588878783516687,0.5845592311231825,0.94595352588286,0.914203035651067,11196.3805892102,11196.366821990609,11664.3879691704,11650.72260484086,13722.4760274376,12406.72121084318
mean,120,0.1356888113914967,0.13285899173798618,0.38982436974289103,0.3822305906779908,0.5619234830842947,0.5257194659163463,9961.0368447314,9888.721222147382,9620.942412286386,9757.606021254174,7966.634478321302,7956.926261858239
std,120,0.011167300339018488,0.010936122799483817,0.050511945657382575,0.04987410780643073,0.16281354927872993,0.11773988900492859,530.5522843411126,448.47832572648616,535.1793252547321,544.0084953617103,813.849467211008,820.2001432659149
min,120,0.103502991748547,0.1022061275629607,0.216658090369894,0.2435003496324179,0.156860139828106,0.1570980422964449,8571.15640917571,8571.18641281566,8408.44199765615,8408.430608814793,5732.57320814695,5685.540834294377
25%,120,0.1280926019756305,0.1258525177117941,0.358316021743511,0.3445621759698849,0.4102312277370485,0.4359072963133877,9564.487514740293,9579.412918504051,9216.706812843187,9291.134187557345,7416.606973843637,7433.083868429429
50%,120,0.1349896859817425,0.13263291075012046,0.383359789671797,0.37869854462278596,0.615419402775375,0.5122423120988091,10094.347553547199,9889.776793123085,9544.339144399746,9725.194327479247,7944.91139970695,7911.0470272438215
75%,120,0.14236290356354975,0.13901816722362945,0.43331420072844773,0.4201867085682595,0.6875026740018755,0.6222059280984759,10349.953736909549,10217.014375157069,9996.644882800507,10185.720103160958,8525.54860984373,8542.414418864415
max,120,0.17625199085777,0.1759029092385656,0.550013554074512,0.5300819440446257,0.854543401086113,0.830685134535833,10969.0188886298,10939.916402379136,11472.3197021391,11431.989803900053,11681.4001128086,11029.917998175126
mean,150,0.13587799176137189,0.13341909050364498,0.39081244250316627,0.3839298908521934,0.5612583901368766,0.5269016419561112,9957.906736953588,9888.222347112136,9623.615863568808,9749.195222098899,7945.28083860976,7940.403716366997
std,150,0.010198800355735043,0.009889666807770146,0.046721957176286126,0.04523192995990838,0.15450850337576144,0.11797873138938955,518.8352696509477,438.13500735380745,500.8879002986951,520.6838172347274,724.2934798001618,727.4854662671927
min,150,0.103992833185133,0.1040242328487946,0.279991474308692,0.2756661808287343,0.161754584554927,0.1666005377864193,8666.47487908568,8697.112420161602,8484.5355671947,8484.49804054704,6115.37794483031,6115.408839713741
25%,150,0.12951558128415525,0.1273862657861899,0.3599851265560262,0.34901247575649835,0.4074144746709968,0.431380621887621,9520.780478935572,9558.049731839816,9219.60016458559,9288.90366825636,7440.12866808167,7441.295057926279
50%,150,0.1350650000466955,0.1325363010967357,0.3866775312031655,0.3825674959230649,0.6153472940408324,0.5159989631179982,10114.1213171559,9886.56728010425,9527.5204572772,9716.847637903207,7972.012033044575,7969.112920376287
75%,150,0.14170554767726173,0.13864387203910652,0.4266700090700305,0.4164549029285093,0.6841987566546772,0.630756932470043,10349.7628616174,10217.329563800462,10007.587251776451,10191.233450667125,8468.343529438287,8478.62574262768
max,150,0.172081158969536,0.1720067172606307,0.526684507098786,0.5169058539962686,0.819460654537239,0.8050685887305825,10911.6763270895,10903.358896889536,10981.8238107849,10981.809636936274,10111.6197467153,9935.25996810405
mean,180,0.13608765727683816,0.1336522718779725,0.3916955399687206,0.3847195624450785,0.5601090495544699,0.5268178989848462,9952.646840397521,9884.55603636983,9626.640286233625,9750.012524900347,7931.122798058192,7929.672481150103
std,180,0.00938943120371822,0.009286686243623218,0.04331021069297793,0.04233705254054324,0.15246475759952996,0.11562147089051138,507.3503219519615,427.04545315062234,474.3222154946465,505.90250736212187,666.9327370249215,668.8002023592911
min,180,0.107534425586573,0.1070808998566206,0.288875237366321,0.2905435428160068,0.180725462541884,0.2968898783982142,8668.53345643389,8668.501826373842,8513.76264356701,8574.054205271768,6281.88410053012,6260.616250457028
25%,180,0.12982482925506425,0.12766905518971666,0.3610925776040682,0.3519711299431872,0.40319928939197297,0.4285765302478396,9522.941344698713,9554.504598366864,9252.273053657533,9274.499991559562,7509.214381251935,7538.769366433693
50%,180,0.1349445204031395,0.13253441887892448,0.3944315449333875,0.3850113232033391,0.6190557855755265,0.5178872671166235,10121.14592111675,9872.204012343638,9527.36207602547,9700.78197859466,7956.659238341976,7982.9208663217505
75%,180,0.1415717155874065,0.13851587624174222,0.422226413588362,0.4139048352419708,0.682387096647127,0.6281500147597588,10352.411267171925,10216.743109729805,9983.836769281263,10196.573214161514,8410.611162721489,8397.463415282651
max,180,0.166619743665604,0.1659207106700693,0.505540792832261,0.4972152238155624,0.797115065956527,0.7698921061338673,10820.2260384669,10858.397302960468,10943.8144215194,10943.79956388248,9877.55415144076,9635.929071019422
