model,param,window,std
PIN,pin,60,0.01682223682785203
HPIN,pin,60,0.0156693110497606
PIN,alpha,60,0.07346309316137192
HPIN,alpha,60,0.07148511890701703
PIN,delta,60,0.1961633287940034
HPIN,delta,60,0.13639140255856186
PIN,epsilon_b,60,655.807847812311
HPIN,epsilon_b,60,577.2212343187612
PIN,epsilon_s,60,680.381037532275
HPIN,epsilon_s,60,646.417240163298
PIN,mu,60,1255.8508615129535
HPIN,mu,60,1224.6550235242657
PIN,pin,90,0.012918316126118849
HPIN,pin,90,0.012322924151112842
PIN,alpha,90,0.05715544927462004
HPIN,alpha,90,0.05656906818100925
PIN,delta,90,0.17451245176530006
HPIN,delta,90,0.1215520138688047
PIN,epsilon_b,90,555.3856641140995
HPIN,epsilon_b,90,483.80965844258577
PIN,epsilon_s,90,599.6753889778333
HPIN,epsilon_s,90,584.8345707237312
PIN,mu,90,931.8368536196975
HPIN,mu,90,939.8853374153862
PIN,pin,120,0.011167300339018488
HPIN,pin,120,0.010936122799483817
PIN,alpha,120,0.050511945657382575
HPIN,alpha,120,0.04987410780643073
PIN,delta,120,0.16281354927872993
HPIN,delta,120,0.11773988900492859
PIN,epsilon_b,120,530.5522843411126
HPIN,epsilon_b,120,448.47832572648616
PIN,epsilon_s,120,535.1793252547321
HPIN,epsilon_s,120,544.0084953617103
PIN,mu,120,813.849467211008
HPIN,mu,120,820.2001432659149
PIN,pin,150,0.010198800355735043
HPIN,pin,150,0.009889666807770146
PIN,alpha,150,0.046721957176286126
HPIN,alpha,150,0.04523192995990838
PIN,delta,150,0.15450850337576144
HPIN,delta,150,0.11797873138938955
PIN,epsilon_b,150,518.8352696509477
HPIN,epsilon_b,150,438.13500735380745
PIN,epsilon_s,150,500.8879002986951
HPIN,epsilon_s,150,520.6838172347274
PIN,mu,150,724.2934798001618
HPIN,mu,150,727.4854662671927
PIN,pin,180,0.00938943120371822
HPIN,pin,180,0.009286686243623218
PIN,alpha,180,0.04331021069297793
HPIN,alpha,180,0.04233705254054324
PIN,delta,180,0.15246475759952996
HPIN,delta,180,0.11562147089051138
PIN,epsilon_b,180,507.3503219519615
HPIN,epsilon_b,180,427.04545315062234
PIN,epsilon_s,180,474.3222154946465
HPIN,epsilon_s,180,505.90250736212187
PIN,mu,180,666.9327370249215
HPIN,mu,180,668.8002023592911
