window,param,statistics,p_value
60,pin,290425.0,0.0
60,alpha,2158413.0,0.0
60,delta,6187656.0,0.5332858664209935
60,epsilon_b,2505478.0,8.642020632763187e-295
60,epsilon_s,3289427.0,4.1985839997773513e-185
60,mu,5954984.0,0.0037035466571089266
90,pin,77571.0,0.0
90,alpha,877725.0,0.0
90,delta,5986069.0,0.009381140699128251
90,epsilon_b,3368160.0,1.678918593174385e-175
90,epsilon_s,5040025.0,1.7829111357235172e-32
90,mu,3515281.0,2.989951318380595e-158
120,pin,480875.0,0.0
120,alpha,3370390.0,3.11338293801869e-175
120,delta,6197684.0,0.5997509055525841
120,epsilon_b,4596591.0,4.296191239713764e-59
120,epsilon_s,4531050.0,1.0156096071648228e-63
120,mu,5166568.0,2.2539809475806427e-26
150,pin,375276.0,0.0
150,alpha,1814966.0,0.0
150,delta,5654221.0,4.9516670505721815e-09
150,epsilon_b,3577474.0,3.141698708492803e-151
150,epsilon_s,4142445.0,8.121629324836217e-95
150,mu,3727336.0,5.68954663259287e-135
180,pin,1313393.0,0.0
180,alpha,3957181.0,7.486189507393728e-112
180,delta,3961700.0,2.0266468933113645e-111
180,epsilon_b,2729718.0,8.403838504844603e-261
180,epsilon_s,3721385.0,1.3405959269953885e-135
180,mu,5580904.0,5.132610501946551e-11
