window,param,lag,statistics,p_value
60,pin,1,1270906.0,0.0
60,pin,2,2534639.0,2.985264584164072e-290
60,pin,3,4425027.0,1.3966111435123275e-71
60,pin,4,6211553.0,0.6973565995684003
60,pin,5,4822761.0,1.6917554220772909e-44
60,alpha,1,6133094.0,0.24706241687720842
60,alpha,2,6104435.0,0.1503570045715203
60,alpha,3,6043285.0,0.04161728978776824
60,alpha,4,4749103.0,5.106371109943179e-49
60,alpha,5,5995059.0,0.012080898371182064
60,delta,1,1307591.0,0.0
60,delta,2,1530852.0,0.0
60,delta,3,4667063.0,2.5615266399116068e-54
60,delta,4,5374971.0,9.126565866427443e-18
60,delta,5,5883871.0,0.00031941307531242486
60,epsilon_b,1,5315537.0,4.8770905456979424e-20
60,epsilon_b,2,2034761.0,0.0
60,epsilon_b,3,2982259.0,4.951644076090003e-225
60,epsilon_b,4,4652648.0,2.808438303357162e-55
60,epsilon_b,5,5684288.0,2.7882651214151545e-08
60,epsilon_s,1,4939031.0,8.048036801166379e-38
60,epsilon_s,2,886872.0,0.0
60,epsilon_s,3,4318629.0,6.110248739675093e-80
60,epsilon_s,4,6189576.0,0.5457181967838742
60,epsilon_s,5,5949568.0,0.0031223905963042252
60,mu,1,4059168.0,2.6839961320855274e-102
60,mu,2,5030380.0,5.73956920478022e-33
60,mu,3,5270099.0,7.126706619147045e-22
60,mu,4,5629128.0,1.0970344593012802e-09
60,mu,5,5713406.0,1.371815894328929e-07
90,pin,1,1170554.0,0.0
90,pin,2,3846217.0,9.710887596840511e-123
90,pin,3,3633454.0,4.781481964876598e-145
90,pin,4,3708856.0,6.320883626478977e-137
90,pin,5,4881038.0,4.4179597558649086e-41
90,alpha,1,2540843.0,2.728670835382463e-289
90,alpha,2,6221901.0,0.7737163564534764
90,alpha,3,4880781.0,4.270340543114058e-41
90,alpha,4,3469780.0,1.724601807533058e-163
90,alpha,5,5350242.0,1.077946181740413e-18
90,delta,1,1414849.0,0.0
90,delta,2,4340014.0,3.1909582438613603e-78
90,delta,3,6247982.0,0.9744601464019996
90,delta,4,5949433.0,0.0031090303121640325
90,delta,5,5894228.0,0.00046953107215918214
90,epsilon_b,1,5807827.0,1.399186721747168e-05
90,epsilon_b,2,1983204.0,0.0
90,epsilon_b,3,6194509.0,0.5783047794434758
90,epsilon_b,4,4417160.0,3.4923797567927897e-72
90,epsilon_b,5,4617517.0,1.1820117561527918e-57
90,epsilon_s,1,5200683.0,7.667376346143335e-25
90,epsilon_s,2,3461796.0,2.034818460794567e-164
90,epsilon_s,3,5528585.0,1.4459191409419846e-12
90,epsilon_s,4,5217349.0,4.125119099441155e-24
90,epsilon_s,5,6042794.0,0.041137941878982454
90,mu,1,5389102.0,3.0139217667757145e-17
90,mu,2,5800348.0,9.996148307821543e-06
90,mu,3,5912145.0,0.0008936233857591981
90,mu,4,2849673.0,1.7628853863684202e-243
90,mu,5,4098709.0,1.0393254231501747e-98
120,pin,1,3743599.0,2.9051529078678544e-133
120,pin,2,4702522.0,5.4119233987128135e-52
120,pin,3,5013332.0,7.575007861094945e-34
120,pin,4,5600146.0,1.7879173168982327e-10
120,pin,5,6031957.0,0.031689805935087925
120,alpha,1,6177269.0,0.4686029050399513
120,alpha,2,3804073.0,5.225903495026131e-127
120,alpha,3,5325245.0,1.1728381286975816e-19
120,alpha,4,5823939.0,2.837287229368789e-05
120,alpha,5,5961667.0,0.004555433062508729
120,delta,1,2174868.0,0.0
120,delta,2,2568285.0,4.648912775767053e-285
120,delta,3,3768727.0,1.2042194250802124e-130
120,delta,4,3770598.0,1.88171224623581e-130
120,delta,5,4512985.0,5.014226407018982e-65
120,epsilon_b,1,5020639.0,1.81059115604724e-33
120,epsilon_b,2,3223356.0,2.3239717529441697e-193
120,epsilon_b,3,3763270.0,3.269591597924693e-131
120,epsilon_b,4,4939657.0,8.712130811235522e-38
120,epsilon_b,5,3216779.0,3.4226240886928264e-194
120,epsilon_s,1,4121150.0,1.0571481822597175e-96
120,epsilon_s,2,1941385.0,0.0
120,epsilon_s,3,2676168.0,9.960593298762741e-269
120,epsilon_s,4,4586726.0,8.874533126125338e-60
120,epsilon_s,5,5438734.0,1.7231135767937725e-15
120,mu,1,4068984.0,2.1162062072835168e-101
120,mu,2,1811465.0,0.0
120,mu,3,5959893.0,0.004313506670568311
120,mu,4,4938578.0,7.599090526280238e-38
120,mu,5,5897719.0,0.0005334687070273721
150,pin,1,2169992.0,0.0
150,pin,2,1435799.0,0.0
150,pin,3,5383169.0,1.8293655272119623e-17
150,pin,4,4998687.0,1.3009087337277311e-34
150,pin,5,4997576.0,1.1372070853771045e-34
150,alpha,1,3653974.0,8.18679617050819e-143
150,alpha,2,1755393.0,0.0
150,alpha,3,4703833.0,6.58121897575858e-52
150,alpha,4,5072612.0,7.687502110582883e-31
150,alpha,5,5498824.0,1.691834231344012e-13
150,delta,1,3103514.0,8.429770927961681e-209
150,delta,2,2061758.0,0.0
150,delta,3,5695071.0,5.076734837829942e-08
150,delta,4,3947855.0,9.527435099396109e-113
