window,param,statistics,p_value
60,pin,0.0,0.0
60,alpha,193.0,0.0
60,delta,2609343.0,8.703515183931883e-279
60,epsilon_b,5480437.0,4.310624464472956e-14
60,epsilon_s,809950.0,0.0
60,mu,4356812.0,6.917980049455664e-77
90,pin,0.0,0.0
90,alpha,1488.0,0.0
90,delta,2066201.0,0.0
90,epsilon_b,3989004.0,7.979853198154992e-109
90,epsilon_s,856447.0,0.0
90,mu,5294097.0,6.8044470332485e-21
120,pin,0.0,0.0
120,alpha,3977.0,0.0
120,delta,891300.0,0.0
120,epsilon_b,2140283.0,0.0
120,epsilon_s,385012.0,0.0
120,mu,4795918.0,4.0467621911302095e-46
150,pin,0.0,0.0
150,alpha,8129.0,0.0
150,delta,883956.0,0.0
150,epsilon_b,2224119.0,0.0
150,epsilon_s,562147.0,0.0
150,mu,5694572.0,4.939067268691029e-08
180,pin,2.0,0.0
180,alpha,6254.0,0.0
180,delta,1214683.0,0.0
180,epsilon_b,2312480.0,0.0
180,epsilon_s,682497.0,0.0
180,mu,5401073.0,8.17003465380715e-17
