window,param,statistics,p_value
60,pin,1125636.0,0.0
60,alpha,3537739.0,1.070805828359267e-155
60,delta,43.0,0.0
60,epsilon_b,582726.0,0.0
60,epsilon_s,2605865.0,2.5768536837870406e-279
60,mu,4311609.0,1.6519485288152345e-80
90,pin,2567292.0,3.271774533006563e-285
90,alpha,5197343.0,5.4552002707138105e-25
90,delta,5923.0,0.0
90,epsilon_b,555674.0,0.0
90,epsilon_s,3967035.0,6.550915202721633e-111
90,mu,4505803.0,1.5031803096839728e-65
120,pin,4152469.0,6.175374151331136e-94
120,alpha,4635969.0,2.122679171487193e-56
120,delta,44027.0,0.0
120,epsilon_b,456769.0,0.0
120,epsilon_s,5008412.0,4.20073799735195e-34
120,mu,5119526.0,1.451976640297504e-28
150,pin,3192341.0,2.676800766879495e-197
150,alpha,2776216.0,5.128648990343618e-254
150,delta,120178.0,0.0
150,epsilon_b,542005.0,0.0
150,epsilon_s,3725689.0,3.814878328541243e-135
150,mu,6000028.0,0.01385141904881643
180,pin,4387684.0,1.8401624300708767e-74
180,alpha,3638028.0,1.5099023086131733e-144
180,delta,167770.0,0.0
180,epsilon_b,759737.0,0.0
180,epsilon_s,2513650.0,1.6293223570128587e-293
180,mu,6055829.0,0.05556398723011132
