window,metric,statistics,p_value
60,persistence_asymmetry,4993650.0,2.0123119230560766e-28
60,switch_rate,2628429.0,4.1789225707045585e-263
60,spectral_gap,0.0,0.0
60,transition_entropy,1155840.0,0.0
90,persistence_asymmetry,5875643.0,0.12445823661381858
90,switch_rate,1556750.0,0.0
90,spectral_gap,0.0,0.0
90,transition_entropy,969890.0,0.0
120,persistence_asymmetry,5882556.0,0.4628250334610535
120,switch_rate,879759.0,0.0
120,spectral_gap,0.0,0.0
120,transition_entropy,956367.0,0.0
150,persistence_asymmetry,5671550.0,0.03105438289359923
150,switch_rate,500606.0,0.0
150,spectral_gap,0.0,0.0
150,transition_entropy,859250.0,0.0
180,persistence_asymmetry,5074148.0,2.7603733987350228e-14
180,switch_rate,255912.0,0.0
180,spectral_gap,0.0,0.0
180,transition_entropy,787845.0,0.0
